Size,RunIndex,CaseName,Tool,Sequence,Scenario,MetricValue,PhaseName,MetricName,Iteration
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,1,BasicXform,11098032,EMFResourceInitialization,Memory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,2,BasicXform,305697344,Generation,Time,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,2,BasicXform,24059000,Generation,Memory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,3,BasicXform,12143,Initialization,Time,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,3,BasicXform,11591152,Initialization,Memory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,3,BasicXform,22328448,Initialization,AverageMemory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,3,BasicXform,33065544,Initialization,PeakMemory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,4,BasicXform,1973669797,M2MTransformation1,Time,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,4,BasicXform,12414424,M2MTransformation1,Memory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,4,BasicXform,1086217760,M2MTransformation1,PeakMemory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,4,BasicXform,201820891,M2MTransformation1,AverageMemory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,5,BasicXform,127443,Modification,Time,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,5,BasicXform,12414544,Modification,Memory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,6,BasicXform,1970504932,M2MTransformation2,Time,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,6,BasicXform,12655144,M2MTransformation2,Memory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,6,BasicXform,822022392,M2MTransformation2,AverageMemory,1
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,6,BasicXform,1441261496,M2MTransformation2,PeakMemory,1
