MetricName,RunIndex,CaseName,PhaseName,MetricValue,Scenario,Sequence,Size,Iteration,Tool
PeakMemory,1,StatisticBasedCase,M2MTransformation2,329009872,BasicXform,6,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Modification,359611,BasicXform,7,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Modification,28264488,BasicXform,7,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,328797800,BasicXform,8,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,28271808,BasicXform,8,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,200147816,BasicXform,8,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,329059952,BasicXform,8,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Modification,340397,BasicXform,9,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Modification,28272576,BasicXform,9,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,275943050,BasicXform,10,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,28279336,BasicXform,10,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,200155784,BasicXform,10,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,329067800,BasicXform,10,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Modification,309706,BasicXform,11,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Modification,28280128,BasicXform,11,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,270469412,BasicXform,12,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,28287224,BasicXform,12,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,200163412,BasicXform,12,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,372046144,BasicXform,12,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Modification,253632,BasicXform,13,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Modification,28288016,BasicXform,13,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,268075319,BasicXform,14,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,28294752,BasicXform,14,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,200171224,BasicXform,14,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,329083240,BasicXform,14,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,EMFResourceInitialization,448689,BasicXform,1,16,1,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,EMFResourceInitialization,11157112,BasicXform,1,16,1,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Generation,6384352678,BasicXform,2,16,1,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Generation,195121016,BasicXform,2,16,1,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Initialization,11063,BasicXform,3,16,1,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Initialization,13859080,BasicXform,3,16,1,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,Initialization,56698504,BasicXform,3,16,1,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,Initialization,56698504,BasicXform,3,16,1,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation1,35959942290,BasicXform,4,16,1,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation1,17755336,BasicXform,4,16,1,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation1,3459646896,BasicXform,4,16,1,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation1,1485415679,BasicXform,4,16,1,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Modification,477919,BasicXform,5,16,1,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Modification,17755752,BasicXform,5,16,1,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,34969232535,BasicXform,6,16,1,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,18797952,BasicXform,6,16,1,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,1130560103,BasicXform,6,16,1,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,3107719464,BasicXform,6,16,1,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Modification,320359,BasicXform,7,16,2,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Modification,18798336,BasicXform,7,16,2,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,34479268523,BasicXform,8,16,2,BATCH_OPTIMIZED-TEMPLATE
