Iteration,Sequence,Tool,Scenario,RunIndex,MetricValue,MetricName,PhaseName,CaseName,Size
1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,500010904,PeakMemory,M2MTransformation2,StatisticBasedCase,32
1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,329329488,AverageMemory,M2MTransformation2,StatisticBasedCase,32
2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,408111,Time,Modification,StatisticBasedCase,32
2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,115986416,Memory,Modification,StatisticBasedCase,32
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,559743139,Time,M2MTransformation2,StatisticBasedCase,32
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,115993440,Memory,M2MTransformation2,StatisticBasedCase,32
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,500020800,PeakMemory,M2MTransformation2,StatisticBasedCase,32
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,329339200,AverageMemory,M2MTransformation2,StatisticBasedCase,32
3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,398589,Time,Modification,StatisticBasedCase,32
3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,115993840,Memory,Modification,StatisticBasedCase,32
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,551276860,Time,M2MTransformation2,StatisticBasedCase,32
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,115995664,Memory,M2MTransformation2,StatisticBasedCase,32
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,329346616,AverageMemory,M2MTransformation2,StatisticBasedCase,32
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,500028208,PeakMemory,M2MTransformation2,StatisticBasedCase,32
4,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,364034,Time,Modification,StatisticBasedCase,32
4,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,115996152,Memory,Modification,StatisticBasedCase,32
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,530160507,Time,M2MTransformation2,StatisticBasedCase,32
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,116005928,Memory,M2MTransformation2,StatisticBasedCase,32
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,329348876,AverageMemory,M2MTransformation2,StatisticBasedCase,32
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,500030392,PeakMemory,M2MTransformation2,StatisticBasedCase,32
5,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,377214,Time,Modification,StatisticBasedCase,32
5,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,116006320,Memory,Modification,StatisticBasedCase,32
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,532404723,Time,M2MTransformation2,StatisticBasedCase,32
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,116010504,Memory,M2MTransformation2,StatisticBasedCase,32
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,329358896,AverageMemory,M2MTransformation2,StatisticBasedCase,32
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,2,500040288,PeakMemory,M2MTransformation2,StatisticBasedCase,32
1,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,431156,Time,EMFResourceInitialization,StatisticBasedCase,8
1,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,9586816,Memory,EMFResourceInitialization,StatisticBasedCase,8
1,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,938160342,Time,Generation,StatisticBasedCase,8
1,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,32668744,Memory,Generation,StatisticBasedCase,8
1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,155673745,Time,Initialization,StatisticBasedCase,8
1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,25110304,Memory,Initialization,StatisticBasedCase,8
1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,96574544,PeakMemory,Initialization,StatisticBasedCase,8
1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,64362280,AverageMemory,Initialization,StatisticBasedCase,8
1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,190597329,Time,M2MTransformation1,StatisticBasedCase,8
1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,29821328,Memory,M2MTransformation1,StatisticBasedCase,8
1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,121747728,PeakMemory,M2MTransformation1,StatisticBasedCase,8
1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,78798008,AverageMemory,M2MTransformation1,StatisticBasedCase,8
1,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,3039714,Time,Modification,StatisticBasedCase,8
1,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30007288,Memory,Modification,StatisticBasedCase,8
