CaseName,Scenario,Sequence,Tool,PhaseName,MetricName,MetricValue,RunIndex,Size,Iteration
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,13445152,3,2,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,99686944,3,2,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,13450512,3,2,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,45658212,3,2,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,56395640,3,2,1
StatisticBasedCase,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,286582,3,2,2
StatisticBasedCase,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,13450472,3,2,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,105136008,3,2,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,13458240,3,2,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,56400960,3,2,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,45663532,3,2,2
StatisticBasedCase,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,179883,3,2,3
StatisticBasedCase,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,13458064,3,2,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,91209398,3,2,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,13472672,3,2,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,56408568,3,2,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,45671132,3,2,3
StatisticBasedCase,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,142963,3,2,4
StatisticBasedCase,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,13472472,3,2,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,89092167,3,2,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,13479456,3,2,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,56422976,3,2,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,45685552,3,2,4
StatisticBasedCase,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,170243,3,2,5
StatisticBasedCase,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,13478240,3,2,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,86032782,3,2,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,13484256,3,2,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,56429736,3,2,5
