MetricName,PhaseName,Scenario,CaseName,Iteration,RunIndex,Size,Tool,MetricValue,Sequence
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,74849548,8
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,85015152,8
Time,Modification,BasicXform,StatisticBasedCase,3,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1815585,9
Memory,Modification,BasicXform,StatisticBasedCase,3,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64706200,9
Time,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,21228,10
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64707272,10
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,85038480,10
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,85038480,10
Time,Modification,BasicXform,StatisticBasedCase,4,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1518610,11
Memory,Modification,BasicXform,StatisticBasedCase,4,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64730056,11
Time,M2MTransformation2,BasicXform,StatisticBasedCase,4,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,19609,12
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,4,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64730952,12
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,4,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,85062360,12
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,4,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,74896756,12
Time,Modification,BasicXform,StatisticBasedCase,5,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1263186,13
Memory,Modification,BasicXform,StatisticBasedCase,5,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64753560,13
Time,M2MTransformation2,BasicXform,StatisticBasedCase,5,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16791,14
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,5,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64754432,14
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,5,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,85085840,14
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,5,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,85085840,14
Time,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,169324,1
Memory,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9668568,1
Time,Generation,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,823639334,2
Memory,Generation,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34599128,2
Time,Initialization,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,176241595,3
Memory,Initialization,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,27898000,3
PeakMemory,Initialization,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,118142064,3
AverageMemory,Initialization,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,75192404,3
Time,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,216585147,4
Memory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34751720,4
PeakMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,113797952,4
AverageMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,81585692,4
Time,Modification,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6324927,5
Memory,Modification,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35295056,5
Time,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35496,6
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35296128,6
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56770688,6
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56770832,6
Time,Modification,BasicXform,StatisticBasedCase,2,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4304444,7
Memory,Modification,BasicXform,StatisticBasedCase,2,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35335384,7
Time,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16005,8
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35336256,8
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56811016,8
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56811016,8
Time,Modification,BasicXform,StatisticBasedCase,3,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1257761,9
Memory,Modification,BasicXform,StatisticBasedCase,3,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35355712,9
Time,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16435,10
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35356584,10
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,46094064,10
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56831344,10
Time,Modification,BasicXform,StatisticBasedCase,4,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1140780,11
Memory,Modification,BasicXform,StatisticBasedCase,4,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35376592,11
Time,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,17364,12
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35377488,12
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56852248,12
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56852248,12
Time,Modification,BasicXform,StatisticBasedCase,5,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1155646,13
Memory,Modification,BasicXform,StatisticBasedCase,5,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35397232,13
Time,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16531,14
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35398104,14
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56872864,14
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,56872864,14
Time,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,159971,1
Memory,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9599944,1
Time,Generation,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,98985669,2
Memory,Generation,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12196296,2
Time,Initialization,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,59228864,3
Memory,Initialization,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13666528,3
AverageMemory,Initialization,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,52789468,3
PeakMemory,Initialization,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,74264304,3
Time,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,48223211,4
Memory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15232448,4
AverageMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,45879376,4
PeakMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,67354240,4
Time,Modification,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2337991,5
