Size,MetricValue,RunIndex,Scenario,MetricName,Tool,Sequence,CaseName,PhaseName,Iteration
64,10589980907,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
64,1929674688,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
64,3221933200,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
64,1448490178,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
64,18947520607,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
64,5217471744,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
64,6093097888,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
64,3847661670,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
64,2947844,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,StatisticBasedCase,Modification,1
64,5217645232,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,StatisticBasedCase,Modification,1
64,5216,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
64,5217646048,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
64,5241002864,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
64,5583218972,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
64,3494766,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,7,StatisticBasedCase,Modification,2
