MetricValue,MetricName,CaseName,Size,PhaseName,RunIndex,Iteration,Tool,Sequence,Scenario
1264381896,AverageMemory,LowSynchCase,64,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
1978794816,PeakMemory,LowSynchCase,64,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
154662,Time,LowSynchCase,64,Modification,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
549996992,Memory,LowSynchCase,64,Modification,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
1672372474,Time,LowSynchCase,64,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
550019024,Memory,LowSynchCase,64,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1268988861,AverageMemory,LowSynchCase,64,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1960326440,PeakMemory,LowSynchCase,64,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
153551,Time,LowSynchCase,64,Modification,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
550025320,Memory,LowSynchCase,64,Modification,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
1662263734,Time,LowSynchCase,64,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
550047416,Memory,LowSynchCase,64,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
2032219456,PeakMemory,LowSynchCase,64,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
1276501376,AverageMemory,LowSynchCase,64,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
