MetricValue,RunIndex,Scenario,Sequence,Tool,MetricName,PhaseName,CaseName,Size,Iteration
15859704,1,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,8,2
166177752,1,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,8,2
91015728,1,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,8,2
208837,1,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,8,3
15859520,1,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,8,3
152748093,1,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,8,3
15866864,1,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,8,3
144709432,1,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,8,3
91022292,1,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,8,3
163164,1,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,8,4
15866680,1,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,8,4
150894309,1,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,8,4
15874784,1,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,8,4
166191408,1,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,8,4
91029444,1,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,8,4
139544,1,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,8,5
15872560,1,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,8,5
135452357,1,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,8,5
15879552,1,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,8,5
166197288,1,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,8,5
91035312,1,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,8,5
159283,2,BasicXform,1,BATCH_OPTIMIZED-TEMPLATE,Time,EMFResourceInitialization,StatisticBasedCase,16,1
9521848,2,BasicXform,1,BATCH_OPTIMIZED-TEMPLATE,Memory,EMFResourceInitialization,StatisticBasedCase,16,1
3374804356,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,Time,Generation,StatisticBasedCase,16,1
100027768,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,Memory,Generation,StatisticBasedCase,16,1
12681,2,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,Time,Initialization,StatisticBasedCase,16,1
12240560,2,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,Memory,Initialization,StatisticBasedCase,16,1
33285692,2,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,Initialization,StatisticBasedCase,16,1
54330624,2,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,Initialization,StatisticBasedCase,16,1
38866324652,2,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,Time,M2MTransformation1,StatisticBasedCase,16,1
16141016,2,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,Memory,M2MTransformation1,StatisticBasedCase,16,1
3423631464,2,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,M2MTransformation1,StatisticBasedCase,16,1
1328015049,2,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,M2MTransformation1,StatisticBasedCase,16,1
