PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,CaseName,RunIndex,Size,Scenario
M2MTransformation2,8,253829928,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,8,424501768,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,8,552513304,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,32,BasicXform
Modification,9,470508,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,32,BasicXform
Modification,9,253845992,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,10,499501500,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,10,253856904,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,10,552540176,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,10,424528696,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,32,BasicXform
Modification,11,379385,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,32,BasicXform
Modification,11,253872320,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,12,495524207,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,12,253883264,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,12,552566584,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,12,424555076,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,32,BasicXform
Modification,13,398960,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,32,BasicXform
Modification,13,253899160,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,14,583316035,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,14,253909912,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,14,424582020,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,14,595543352,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,32,BasicXform
EMFResourceInitialization,1,396168,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
EMFResourceInitialization,1,11899128,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Generation,2,110186711839,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Generation,2,2921818992,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Initialization,3,12141364336,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Initialization,3,1515989008,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Initialization,3,1314105345,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Initialization,3,3238957880,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation1,4,640390612,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation1,4,1608349200,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation1,4,1790328700,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation1,4,2040857832,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Modification,5,1132109,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Modification,5,1608434776,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,6,1882866124,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,6,1608450632,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,6,2235738992,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,6,1905579114,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,1,64,BasicXform
Modification,7,678855,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,1,64,BasicXform
Modification,7,1608479168,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,8,1667506297,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,8,1608493824,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,8,1916628605,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,8,2235782616,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,1,64,BasicXform
Modification,9,946624,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,1,64,BasicXform
Modification,9,1608520680,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,10,1673436501,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,10,1608535416,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,10,2235823976,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,10,1916670088,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,1,64,BasicXform
Modification,11,629870,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,1,64,BasicXform
Modification,11,1608562360,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,12,1662975985,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,12,1608577328,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,12,2235866080,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,12,1916711864,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,1,64,BasicXform
Modification,13,737491,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,1,64,BasicXform
Modification,13,1608604560,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,14,1666417369,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,14,1608619240,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,14,2269001552,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,1,64,BasicXform
M2MTransformation2,14,1916754181,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,1,64,BasicXform
EMFResourceInitialization,1,299210,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
EMFResourceInitialization,1,11531000,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Generation,2,8527833354,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Generation,2,334594064,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Initialization,3,1187296959,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Initialization,3,216275248,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Initialization,3,631101725,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Initialization,3,1000988384,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation1,4,293494530,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation1,4,253741768,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation1,4,472285112,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation1,4,365614164,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Modification,5,682575,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Modification,5,253757632,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,6,526060638,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,6,253772032,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,6,552437320,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,6,424432044,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,32,BasicXform
Modification,7,443402,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,32,BasicXform
Modification,7,253787776,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,8,508569034,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,8,253801512,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,8,552467320,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,8,424462116,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,32,BasicXform
Modification,9,371310,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,32,BasicXform
Modification,9,253816488,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,10,493933047,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,10,253830904,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,10,552496496,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,10,424491060,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,32,BasicXform
Modification,11,396638,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,32,BasicXform
Modification,11,253845872,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,12,487148424,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,12,253859840,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,12,552525352,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,12,424520192,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,32,BasicXform
Modification,13,640390,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,2,32,BasicXform
Modification,13,253875672,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,14,486583647,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,14,253889376,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,2,32,BasicXform
