RunIndex,Tool,Sequence,Iteration,Scenario,CaseName,Size,MetricName,PhaseName,MetricValue
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,BasicXform,StatisticBasedCase,8,PeakMemory,M2MTransformation2,187736496
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,BasicXform,StatisticBasedCase,8,AverageMemory,M2MTransformation2,112574392
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,3,BasicXform,StatisticBasedCase,8,Time,Modification,173012
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,3,BasicXform,StatisticBasedCase,8,Memory,Modification,15949016
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,3,BasicXform,StatisticBasedCase,8,Time,M2MTransformation2,194616043
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,3,BasicXform,StatisticBasedCase,8,Memory,M2MTransformation2,15956008
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,3,BasicXform,StatisticBasedCase,8,PeakMemory,M2MTransformation2,187748920
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,3,BasicXform,StatisticBasedCase,8,AverageMemory,M2MTransformation2,112586784
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,4,BasicXform,StatisticBasedCase,8,Time,Modification,252968
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,4,BasicXform,StatisticBasedCase,8,Memory,Modification,15955832
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,4,BasicXform,StatisticBasedCase,8,Time,M2MTransformation2,181261481
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,4,BasicXform,StatisticBasedCase,8,Memory,M2MTransformation2,15961016
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,4,BasicXform,StatisticBasedCase,8,PeakMemory,M2MTransformation2,187755536
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,4,BasicXform,StatisticBasedCase,8,AverageMemory,M2MTransformation2,112593512
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,5,BasicXform,StatisticBasedCase,8,Time,Modification,273154
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,5,BasicXform,StatisticBasedCase,8,Memory,Modification,15960816
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,5,BasicXform,StatisticBasedCase,8,Time,M2MTransformation2,173968781
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,5,BasicXform,StatisticBasedCase,8,Memory,M2MTransformation2,15974992
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,5,BasicXform,StatisticBasedCase,8,PeakMemory,M2MTransformation2,187760576
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,5,BasicXform,StatisticBasedCase,8,AverageMemory,M2MTransformation2,112598512
2,BATCH_OPTIMIZED-TEMPLATE,1,1,BasicXform,StatisticBasedCase,16,Time,EMFResourceInitialization,205922
2,BATCH_OPTIMIZED-TEMPLATE,1,1,BasicXform,StatisticBasedCase,16,Memory,EMFResourceInitialization,9521960
2,BATCH_OPTIMIZED-TEMPLATE,2,1,BasicXform,StatisticBasedCase,16,Time,Generation,3015547432
2,BATCH_OPTIMIZED-TEMPLATE,2,1,BasicXform,StatisticBasedCase,16,Memory,Generation,101139760
2,BATCH_OPTIMIZED-TEMPLATE,3,1,BasicXform,StatisticBasedCase,16,Time,Initialization,12376
2,BATCH_OPTIMIZED-TEMPLATE,3,1,BasicXform,StatisticBasedCase,16,Memory,Initialization,12239752
2,BATCH_OPTIMIZED-TEMPLATE,3,1,BasicXform,StatisticBasedCase,16,PeakMemory,Initialization,54751344
2,BATCH_OPTIMIZED-TEMPLATE,3,1,BasicXform,StatisticBasedCase,16,AverageMemory,Initialization,33495648
2,BATCH_OPTIMIZED-TEMPLATE,4,1,BasicXform,StatisticBasedCase,16,Time,M2MTransformation1,39053052584
2,BATCH_OPTIMIZED-TEMPLATE,4,1,BasicXform,StatisticBasedCase,16,Memory,M2MTransformation1,16138992
2,BATCH_OPTIMIZED-TEMPLATE,4,1,BasicXform,StatisticBasedCase,16,PeakMemory,M2MTransformation1,3241672032
2,BATCH_OPTIMIZED-TEMPLATE,4,1,BasicXform,StatisticBasedCase,16,AverageMemory,M2MTransformation1,1237580249
2,BATCH_OPTIMIZED-TEMPLATE,5,1,BasicXform,StatisticBasedCase,16,Time,Modification,259412
2,BATCH_OPTIMIZED-TEMPLATE,5,1,BasicXform,StatisticBasedCase,16,Memory,Modification,16139112
2,BATCH_OPTIMIZED-TEMPLATE,6,1,BasicXform,StatisticBasedCase,16,Time,M2MTransformation2,37393419108
