MetricName,Iteration,RunIndex,Scenario,Sequence,Size,CaseName,MetricValue,PhaseName,Tool
AverageMemory,4,5,BasicXform,12,2,StatisticBasedCase,34331584,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,5,5,BasicXform,13,2,StatisticBasedCase,273009,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,5,5,BasicXform,13,2,StatisticBasedCase,13050048,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,5,5,BasicXform,14,2,StatisticBasedCase,28187100,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,5,5,BasicXform,14,2,StatisticBasedCase,13208368,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,5,5,BasicXform,14,2,StatisticBasedCase,56000536,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,5,5,BasicXform,14,2,StatisticBasedCase,34525680,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,3,BasicXform,1,2,StatisticBasedCase,321173,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,1,3,BasicXform,1,2,StatisticBasedCase,9537136,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,1,3,BasicXform,2,2,StatisticBasedCase,121508132,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,1,3,BasicXform,2,2,StatisticBasedCase,11920576,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,1,3,BasicXform,3,2,StatisticBasedCase,49121072,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,1,3,BasicXform,3,2,StatisticBasedCase,13249648,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,1,3,BasicXform,3,2,StatisticBasedCase,52736248,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,1,3,BasicXform,3,2,StatisticBasedCase,41998824,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
