Size,RunIndex,Tool,MetricName,PhaseName,CaseName,Scenario,Sequence,Iteration,MetricValue
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,BasicXform,8,2,329027608
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,BasicXform,8,2,200115620
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Modification,StatisticBasedCase,BasicXform,9,3,336244
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,Modification,StatisticBasedCase,BasicXform,9,3,28240440
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,BasicXform,10,3,270419977
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,BasicXform,10,3,28247408
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,BasicXform,10,3,200123532
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,BasicXform,10,3,329035464
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Modification,StatisticBasedCase,BasicXform,11,4,306081
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,Modification,StatisticBasedCase,BasicXform,11,4,28248200
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,BasicXform,12,4,289489395
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,BasicXform,12,4,28255208
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,BasicXform,12,4,329043168
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,BasicXform,12,4,200131276
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Modification,StatisticBasedCase,BasicXform,13,5,320154
