Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
128,2,7,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,187884,LowSynchCase,Modification
128,2,7,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123164256,LowSynchCase,Modification
128,2,8,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3840749806,LowSynchCase,M2MTransformation2
128,2,8,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123186240,LowSynchCase,M2MTransformation2
128,2,8,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2568339202,LowSynchCase,M2MTransformation2
128,2,8,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4264848152,LowSynchCase,M2MTransformation2
128,3,9,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,132406,LowSynchCase,Modification
128,3,9,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123194544,LowSynchCase,Modification
128,3,10,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3833235033,LowSynchCase,M2MTransformation2
128,3,10,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123216672,LowSynchCase,M2MTransformation2
128,3,10,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4247967992,LowSynchCase,M2MTransformation2
128,3,10,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2560590560,LowSynchCase,M2MTransformation2
128,4,11,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,131189,LowSynchCase,Modification
128,4,11,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123225104,LowSynchCase,Modification
128,4,12,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3827169170,LowSynchCase,M2MTransformation2
128,4,12,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123247624,LowSynchCase,M2MTransformation2
128,4,12,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4299644608,LowSynchCase,M2MTransformation2
128,4,12,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2568061922,LowSynchCase,M2MTransformation2
128,5,13,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,140817,LowSynchCase,Modification
128,5,13,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123256248,LowSynchCase,Modification
