Size,CaseName,MetricValue,Scenario,RunIndex,PhaseName,Sequence,MetricName,Iteration,Tool
4,StatisticBasedCase,12674744,BasicXform,3,Modification,11,Memory,4,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,23585221,BasicXform,3,M2MTransformation2,12,Time,4,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,12684032,BasicXform,3,M2MTransformation2,12,Memory,4,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,34150400,BasicXform,3,M2MTransformation2,12,PeakMemory,4,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,34150400,BasicXform,3,M2MTransformation2,12,AverageMemory,4,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,74382,BasicXform,3,Modification,13,Time,5,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,12684120,BasicXform,3,Modification,13,Memory,5,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,19347775,BasicXform,3,M2MTransformation2,14,Time,5,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,12694192,BasicXform,3,M2MTransformation2,14,Memory,5,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,34159752,BasicXform,3,M2MTransformation2,14,PeakMemory,5,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,34159752,BasicXform,3,M2MTransformation2,14,AverageMemory,5,BATCH_YAMTL-TEMPLATE
4,StatisticBasedCase,644619,BasicXform,2,EMFResourceInitialization,1,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,9579072,BasicXform,2,EMFResourceInitialization,1,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,274191514,BasicXform,2,Generation,2,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,16453952,BasicXform,2,Generation,2,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,83600532,BasicXform,2,Initialization,3,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,15910240,BasicXform,2,Initialization,3,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,74497672,BasicXform,2,Initialization,3,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,53022824,BasicXform,2,Initialization,3,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,96595573,BasicXform,2,M2MTransformation1,4,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18057128,BasicXform,2,M2MTransformation1,4,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,58860492,BasicXform,2,M2MTransformation1,4,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,91072768,BasicXform,2,M2MTransformation1,4,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,2760824,BasicXform,2,Modification,5,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18150960,BasicXform,2,Modification,5,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,20335,BasicXform,2,M2MTransformation2,6,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
