PhaseName,Scenario,RunIndex,Sequence,Iteration,Size,MetricValue,Tool,CaseName,MetricName
M2MTransformation2,BasicXform,2,8,2,16,1019429261,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,8,2,16,2446322160,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,9,3,16,252351,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,9,3,16,19671016,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,10,3,16,35972952722,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,10,3,16,20815264,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,10,3,16,2440501864,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation2,BasicXform,2,10,3,16,1011918539,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
Modification,BasicXform,2,11,4,16,280154,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,11,4,16,20815664,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,12,4,16,35833945144,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,12,4,16,21765232,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,12,4,16,931442816,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,12,4,16,2435248536,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,13,5,16,265113,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,13,5,16,21765632,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,14,5,16,36203567288,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,14,5,16,22716464,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,14,5,16,1016404222,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,14,5,16,2428989520,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
