Iteration,Scenario,CaseName,Size,MetricValue,MetricName,RunIndex,PhaseName,Tool,Sequence
4,BasicXform,StatisticBasedCase,8,22835180142,Time,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,21525256,Memory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,1453099336,PeakMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,685163227,AverageMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12
5,BasicXform,StatisticBasedCase,8,131684,Time,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,13
5,BasicXform,StatisticBasedCase,8,21526200,Memory,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,13
5,BasicXform,StatisticBasedCase,8,21887425865,Time,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,21537336,Memory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,700948874,AverageMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,1453120288,PeakMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14
1,BasicXform,StatisticBasedCase,8,341363,Time,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1
1,BasicXform,StatisticBasedCase,8,11276664,Memory,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1
1,BasicXform,StatisticBasedCase,8,883466341,Time,1,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2
1,BasicXform,StatisticBasedCase,8,58942856,Memory,1,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2
1,BasicXform,StatisticBasedCase,8,73916731,Time,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,16170472,Memory,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,87524216,PeakMemory,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,55311632,AverageMemory,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,3466426344,Time,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,18148768,Memory,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,1092239032,PeakMemory,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,347860783,AverageMemory,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,380766,Time,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5
1,BasicXform,StatisticBasedCase,8,18149160,Memory,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5
1,BasicXform,StatisticBasedCase,8,3266460005,Time,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,18153584,Memory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,1094037680,PeakMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,388458962,AverageMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6
2,BasicXform,StatisticBasedCase,8,194844,Time,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7
2,BasicXform,StatisticBasedCase,8,18153752,Memory,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7
2,BasicXform,StatisticBasedCase,8,3254386853,Time,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,18165560,Memory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,388445885,AverageMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,1094058656,PeakMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
3,BasicXform,StatisticBasedCase,8,139481,Time,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9
3,BasicXform,StatisticBasedCase,8,18165728,Memory,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9
3,BasicXform,StatisticBasedCase,8,4396749550,Time,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,18168992,Memory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,358920671,AverageMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,1094070632,PeakMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10
4,BasicXform,StatisticBasedCase,8,113678,Time,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11
