Size,Tool,MetricValue,Scenario,RunIndex,Iteration,CaseName,MetricName,PhaseName,Sequence
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2481710078,BasicXform,2,3,LowSynchCase,AverageMemory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,152739,BasicXform,2,4,LowSynchCase,Time,Modification,11
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122739224,BasicXform,2,4,LowSynchCase,Memory,Modification,11
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3906866725,BasicXform,2,4,LowSynchCase,Time,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122761712,BasicXform,2,4,LowSynchCase,Memory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4232397896,BasicXform,2,4,LowSynchCase,PeakMemory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2489987542,BasicXform,2,4,LowSynchCase,AverageMemory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,128371,BasicXform,2,5,LowSynchCase,Time,Modification,13
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122768464,BasicXform,2,5,LowSynchCase,Memory,Modification,13
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3928965001,BasicXform,2,5,LowSynchCase,Time,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122790416,BasicXform,2,5,LowSynchCase,Memory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4224106744,BasicXform,2,5,LowSynchCase,PeakMemory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2487357690,BasicXform,2,5,LowSynchCase,AverageMemory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,310927,BasicXform,3,1,LowSynchCase,Time,EMFResourceInitialization,1
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11202680,BasicXform,3,1,LowSynchCase,Memory,EMFResourceInitialization,1
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7924922695,BasicXform,3,1,LowSynchCase,Time,Generation,2
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,674796632,BasicXform,3,1,LowSynchCase,Memory,Generation,2
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1662977771,BasicXform,3,1,LowSynchCase,Time,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,558474544,BasicXform,3,1,LowSynchCase,Memory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1220987136,BasicXform,3,1,LowSynchCase,PeakMemory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,669950376,BasicXform,3,1,LowSynchCase,AverageMemory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4272526332,BasicXform,3,1,LowSynchCase,Time,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086481240,BasicXform,3,1,LowSynchCase,Memory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3117143216,BasicXform,3,1,LowSynchCase,PeakMemory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1610269563,BasicXform,3,1,LowSynchCase,AverageMemory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,234817,BasicXform,3,1,LowSynchCase,Time,Modification,5
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086486912,BasicXform,3,1,LowSynchCase,Memory,Modification,5
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4673295277,BasicXform,3,1,LowSynchCase,Time,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086509720,BasicXform,3,1,LowSynchCase,Memory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4173930264,BasicXform,3,1,LowSynchCase,PeakMemory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2661713390,BasicXform,3,1,LowSynchCase,AverageMemory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,178688,BasicXform,3,2,LowSynchCase,Time,Modification,7
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086515488,BasicXform,3,2,LowSynchCase,Memory,Modification,7
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4037815157,BasicXform,3,2,LowSynchCase,Time,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086537472,BasicXform,3,2,LowSynchCase,Memory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4216155136,BasicXform,3,2,LowSynchCase,PeakMemory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2724360576,BasicXform,3,2,LowSynchCase,AverageMemory,M2MTransformation2,8
