CaseName,Sequence,PhaseName,RunIndex,Tool,MetricValue,Scenario,MetricName,Iteration,Size
StatisticBasedCase,6,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56676256,BasicXform,AverageMemory,1,2
StatisticBasedCase,6,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,78151160,BasicXform,PeakMemory,1,2
StatisticBasedCase,7,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,183360,BasicXform,Time,2,2
StatisticBasedCase,7,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13733624,BasicXform,Memory,2,2
StatisticBasedCase,8,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,104026673,BasicXform,Time,2,2
StatisticBasedCase,8,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13739440,BasicXform,Memory,2,2
StatisticBasedCase,8,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,99633928,BasicXform,PeakMemory,2,2
StatisticBasedCase,8,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56684188,BasicXform,AverageMemory,2,2
StatisticBasedCase,9,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,219851,BasicXform,Time,3,2
StatisticBasedCase,9,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13740264,BasicXform,Memory,3,2
StatisticBasedCase,10,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,102308991,BasicXform,Time,3,2
StatisticBasedCase,10,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13755544,BasicXform,Memory,3,2
StatisticBasedCase,10,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56690864,BasicXform,AverageMemory,3,2
StatisticBasedCase,10,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,99640640,BasicXform,PeakMemory,3,2
StatisticBasedCase,11,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,232905,BasicXform,Time,4,2
StatisticBasedCase,11,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13755352,BasicXform,Memory,4,2
StatisticBasedCase,12,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,98720793,BasicXform,Time,4,2
StatisticBasedCase,12,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13762152,BasicXform,Memory,4,2
StatisticBasedCase,12,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56705908,BasicXform,AverageMemory,4,2
StatisticBasedCase,12,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,78180760,BasicXform,PeakMemory,4,2
StatisticBasedCase,13,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,118746,BasicXform,Time,5,2
StatisticBasedCase,13,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13760936,BasicXform,Memory,5,2
StatisticBasedCase,14,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,99188713,BasicXform,Time,5,2
StatisticBasedCase,14,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13766216,BasicXform,Memory,5,2
StatisticBasedCase,14,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,99661312,BasicXform,PeakMemory,5,2
StatisticBasedCase,14,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,67448964,BasicXform,AverageMemory,5,2
StatisticBasedCase,1,EMFResourceInitialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,242230,BasicXform,Time,1,64
StatisticBasedCase,1,EMFResourceInitialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10189072,BasicXform,Memory,1,64
StatisticBasedCase,2,Generation,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,68685797982,BasicXform,Time,1,64
StatisticBasedCase,2,Generation,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1721026544,BasicXform,Memory,1,64
StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3997908888,BasicXform,Time,1,64
