PhaseName,Scenario,RunIndex,Size,CaseName,MetricName,Iteration,Tool,MetricValue,Sequence
Modification,BasicXform,3,1,StatisticBasedCase,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12907528,5
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,26505,6
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12908400,6
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34383160,6
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34383160,6
Modification,BasicXform,3,1,StatisticBasedCase,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2117423,7
Modification,BasicXform,3,1,StatisticBasedCase,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12936200,7
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,18418,8
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12937072,8
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,AverageMemory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34411832,8
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,PeakMemory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,55886688,8
Modification,BasicXform,3,1,StatisticBasedCase,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2033739,9
Modification,BasicXform,3,1,StatisticBasedCase,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12964792,9
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,20471,10
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12965664,10
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,AverageMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34440424,10
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,PeakMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34440424,10
Modification,BasicXform,3,1,StatisticBasedCase,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2228705,11
Modification,BasicXform,3,1,StatisticBasedCase,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12989936,11
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,18720,12
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12990832,12
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,PeakMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34465592,12
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,AverageMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34465592,12
Modification,BasicXform,3,1,StatisticBasedCase,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2136449,13
Modification,BasicXform,3,1,StatisticBasedCase,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13020592,13
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,22594,14
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13021464,14
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,PeakMemory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34496224,14
M2MTransformation2,BasicXform,3,1,StatisticBasedCase,AverageMemory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,34496224,14
EMFResourceInitialization,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,283064,1
EMFResourceInitialization,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,9524136,1
Generation,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,94743743,2
Generation,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,12117896,2
Initialization,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,52727592,3
Initialization,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,12644192,3
