RunIndex,Scenario,MetricValue,CaseName,Iteration,MetricName,Size,Tool,PhaseName,Sequence
3,BasicXform,99595852,StatisticBasedCase,2,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,13485128,StatisticBasedCase,2,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,45691132,StatisticBasedCase,2,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,56428560,StatisticBasedCase,2,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,199723,StatisticBasedCase,3,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,9
3,BasicXform,13484936,StatisticBasedCase,3,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,9
3,BasicXform,100357916,StatisticBasedCase,3,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,13496512,StatisticBasedCase,3,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,56435416,StatisticBasedCase,3,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,45697992,StatisticBasedCase,3,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,130687,StatisticBasedCase,4,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,11
3,BasicXform,13496360,StatisticBasedCase,4,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,11
3,BasicXform,98519603,StatisticBasedCase,4,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,13504656,StatisticBasedCase,4,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,56446888,StatisticBasedCase,4,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,45709452,StatisticBasedCase,4,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,96618,StatisticBasedCase,5,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13
3,BasicXform,13504432,StatisticBasedCase,5,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13
3,BasicXform,97623316,StatisticBasedCase,5,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,14
3,BasicXform,13513288,StatisticBasedCase,5,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,14
3,BasicXform,56454920,StatisticBasedCase,5,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,14
3,BasicXform,45717492,StatisticBasedCase,5,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,14
3,BasicXform,447088,StatisticBasedCase,1,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,1
3,BasicXform,10185344,StatisticBasedCase,1,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,1
3,BasicXform,69792040699,StatisticBasedCase,1,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,2
3,BasicXform,1721185216,StatisticBasedCase,1,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,2
3,BasicXform,3907061513,StatisticBasedCase,1,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,262660712,StatisticBasedCase,1,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,556480777,StatisticBasedCase,1,AverageMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,998070024,StatisticBasedCase,1,PeakMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
