RunIndex,Scenario,Tool,Sequence,PhaseName,Iteration,MetricValue,MetricName,Size,CaseName
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,Modification,4,12776496,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,M2MTransformation2,4,48938202,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,M2MTransformation2,4,12782152,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,M2MTransformation2,4,55726976,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,M2MTransformation2,4,44989564,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,Modification,5,131414,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,Modification,5,12781928,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,M2MTransformation2,5,47852749,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,M2MTransformation2,5,12787568,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,M2MTransformation2,5,55732416,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,M2MTransformation2,5,44994988,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,EMFResourceInitialization,1,197341,Time,64,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,EMFResourceInitialization,1,10173592,Memory,64,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Generation,1,78430632791,Time,64,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Generation,1,1783236816,Memory,64,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,1,3717371120,Time,64,StatisticBasedCase
