Iteration,RunIndex,Tool,Sequence,MetricValue,Size,CaseName,Scenario,MetricName,PhaseName
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,2132150754,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
1,2,BATCH_OPTIMIZED-TEMPLATE,1,378384,16,StatisticBasedCase,BasicXform,Time,EMFResourceInitialization
1,2,BATCH_OPTIMIZED-TEMPLATE,1,9399888,16,StatisticBasedCase,BasicXform,Memory,EMFResourceInitialization
1,2,BATCH_OPTIMIZED-TEMPLATE,2,1596824293,16,StatisticBasedCase,BasicXform,Time,Generation
1,2,BATCH_OPTIMIZED-TEMPLATE,2,48426840,16,StatisticBasedCase,BasicXform,Memory,Generation
1,2,BATCH_OPTIMIZED-TEMPLATE,3,10647,16,StatisticBasedCase,BasicXform,Time,Initialization
1,2,BATCH_OPTIMIZED-TEMPLATE,3,12095584,16,StatisticBasedCase,BasicXform,Memory,Initialization
1,2,BATCH_OPTIMIZED-TEMPLATE,3,32088944,16,StatisticBasedCase,BasicXform,PeakMemory,Initialization
1,2,BATCH_OPTIMIZED-TEMPLATE,3,22092364,16,StatisticBasedCase,BasicXform,AverageMemory,Initialization
1,2,BATCH_OPTIMIZED-TEMPLATE,4,28854839885,16,StatisticBasedCase,BasicXform,Time,M2MTransformation1
1,2,BATCH_OPTIMIZED-TEMPLATE,4,15906872,16,StatisticBasedCase,BasicXform,Memory,M2MTransformation1
1,2,BATCH_OPTIMIZED-TEMPLATE,4,1450631984,16,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation1
1,2,BATCH_OPTIMIZED-TEMPLATE,4,673392758,16,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation1
1,2,BATCH_OPTIMIZED-TEMPLATE,5,264852,16,StatisticBasedCase,BasicXform,Time,Modification
1,2,BATCH_OPTIMIZED-TEMPLATE,5,15906992,16,StatisticBasedCase,BasicXform,Memory,Modification
1,2,BATCH_OPTIMIZED-TEMPLATE,6,28571128473,16,StatisticBasedCase,BasicXform,Time,M2MTransformation2
1,2,BATCH_OPTIMIZED-TEMPLATE,6,16890880,16,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
1,2,BATCH_OPTIMIZED-TEMPLATE,6,1451125568,16,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
1,2,BATCH_OPTIMIZED-TEMPLATE,6,720691330,16,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
2,2,BATCH_OPTIMIZED-TEMPLATE,7,207959,16,StatisticBasedCase,BasicXform,Time,Modification
2,2,BATCH_OPTIMIZED-TEMPLATE,7,16890968,16,StatisticBasedCase,BasicXform,Memory,Modification
2,2,BATCH_OPTIMIZED-TEMPLATE,8,28613945700,16,StatisticBasedCase,BasicXform,Time,M2MTransformation2
2,2,BATCH_OPTIMIZED-TEMPLATE,8,17925712,16,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
2,2,BATCH_OPTIMIZED-TEMPLATE,8,1452257000,16,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
2,2,BATCH_OPTIMIZED-TEMPLATE,8,791519405,16,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
3,2,BATCH_OPTIMIZED-TEMPLATE,9,200259,16,StatisticBasedCase,BasicXform,Time,Modification
3,2,BATCH_OPTIMIZED-TEMPLATE,9,17925800,16,StatisticBasedCase,BasicXform,Memory,Modification
3,2,BATCH_OPTIMIZED-TEMPLATE,10,28848464404,16,StatisticBasedCase,BasicXform,Time,M2MTransformation2
3,2,BATCH_OPTIMIZED-TEMPLATE,10,18863880,16,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
3,2,BATCH_OPTIMIZED-TEMPLATE,10,728505612,16,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
3,2,BATCH_OPTIMIZED-TEMPLATE,10,1453089064,16,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
4,2,BATCH_OPTIMIZED-TEMPLATE,11,216433,16,StatisticBasedCase,BasicXform,Time,Modification
4,2,BATCH_OPTIMIZED-TEMPLATE,11,18863992,16,StatisticBasedCase,BasicXform,Memory,Modification
4,2,BATCH_OPTIMIZED-TEMPLATE,12,28696322195,16,StatisticBasedCase,BasicXform,Time,M2MTransformation2
4,2,BATCH_OPTIMIZED-TEMPLATE,12,20000384,16,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
4,2,BATCH_OPTIMIZED-TEMPLATE,12,1454205472,16,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
4,2,BATCH_OPTIMIZED-TEMPLATE,12,718390403,16,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
5,2,BATCH_OPTIMIZED-TEMPLATE,13,193596,16,StatisticBasedCase,BasicXform,Time,Modification
5,2,BATCH_OPTIMIZED-TEMPLATE,13,20000496,16,StatisticBasedCase,BasicXform,Memory,Modification
5,2,BATCH_OPTIMIZED-TEMPLATE,14,28825272801,16,StatisticBasedCase,BasicXform,Time,M2MTransformation2
5,2,BATCH_OPTIMIZED-TEMPLATE,14,20941632,16,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
5,2,BATCH_OPTIMIZED-TEMPLATE,14,1454934384,16,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
5,2,BATCH_OPTIMIZED-TEMPLATE,14,720991000,16,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,390065,64,StatisticBasedCase,BasicXform,Time,EMFResourceInitialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,10198112,64,StatisticBasedCase,BasicXform,Memory,EMFResourceInitialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,76284058158,64,StatisticBasedCase,BasicXform,Time,Generation
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,1813885920,64,StatisticBasedCase,BasicXform,Memory,Generation
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,1944623013,64,StatisticBasedCase,BasicXform,Time,Initialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,203825384,64,StatisticBasedCase,BasicXform,Memory,Initialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,339216218,64,StatisticBasedCase,BasicXform,AverageMemory,Initialization
