MetricValue,CaseName,Scenario,Sequence,Iteration,Size,MetricName,Tool,PhaseName,RunIndex
21604064,StatisticBasedCase,BasicXform,11,4,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
22170375530,StatisticBasedCase,BasicXform,12,4,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
21607760,StatisticBasedCase,BasicXform,12,4,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
649508196,StatisticBasedCase,BasicXform,12,4,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
1453210496,StatisticBasedCase,BasicXform,12,4,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
143440,StatisticBasedCase,BasicXform,13,5,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
21608704,StatisticBasedCase,BasicXform,13,5,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
22593215837,StatisticBasedCase,BasicXform,14,5,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
21611632,StatisticBasedCase,BasicXform,14,5,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
1453714776,StatisticBasedCase,BasicXform,14,5,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
696796124,StatisticBasedCase,BasicXform,14,5,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
240696,StatisticBasedCase,BasicXform,1,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,1
11296032,StatisticBasedCase,BasicXform,1,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,1
1000395519,StatisticBasedCase,BasicXform,2,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,1
