RunIndex,Scenario,PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,Size,CaseName
2,BasicXform,Modification,5,16137008,Memory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,6,36176681020,Time,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,6,17181032,Memory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,6,3224006080,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,6,914771007,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Modification,7,209594,Time,BATCH_OPTIMIZED-TEMPLATE,2,16,StatisticBasedCase
2,BasicXform,Modification,7,17181120,Memory,BATCH_OPTIMIZED-TEMPLATE,2,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,8,36035135303,Time,BATCH_OPTIMIZED-TEMPLATE,2,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,8,18129496,Memory,BATCH_OPTIMIZED-TEMPLATE,2,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,8,3216473120,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,8,1080269426,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,2,16,StatisticBasedCase
2,BasicXform,Modification,9,152554,Time,BATCH_OPTIMIZED-TEMPLATE,3,16,StatisticBasedCase
2,BasicXform,Modification,9,18128592,Memory,BATCH_OPTIMIZED-TEMPLATE,3,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,10,36578580170,Time,BATCH_OPTIMIZED-TEMPLATE,3,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,10,19274336,Memory,BATCH_OPTIMIZED-TEMPLATE,3,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,10,3210484096,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,3,16,StatisticBasedCase
2,BasicXform,M2MTransformation2,10,993844395,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,3,16,StatisticBasedCase
2,BasicXform,Modification,11,144508,Time,BATCH_OPTIMIZED-TEMPLATE,4,16,StatisticBasedCase
2,BasicXform,Modification,11,19274448,Memory,BATCH_OPTIMIZED-TEMPLATE,4,16,StatisticBasedCase
