MetricName,Tool,RunIndex,PhaseName,CaseName,Scenario,MetricValue,Sequence,Size,Iteration
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,69024240,9,32,3
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,592561842,10,32,3
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,69036864,10,32,3
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,510831352,10,32,3
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,321485780,10,32,3
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,336242,11,32,4
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,69037248,11,32,4
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,562060084,12,32,4
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,69038456,12,32,4
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,321498728,12,32,4
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,510844216,12,32,4
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,375996,13,32,5
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,69038840,13,32,5
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,567374353,14,32,5
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,69047672,14,32,5
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,321500328,14,32,5
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,510845848,14,32,5
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,EMFResourceInitialization,StatisticBasedCase,BasicXform,482915,1,8,1
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,EMFResourceInitialization,StatisticBasedCase,BasicXform,9581320,1,8,1
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Generation,StatisticBasedCase,BasicXform,1014272113,2,8,1
