MetricName,Tool,RunIndex,PhaseName,CaseName,Scenario,MetricValue,Sequence,Size,Iteration
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Generation,StatisticBasedCase,BasicXform,32638296,2,8,1
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,231003549,3,8,1
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,25192656,3,8,1
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,107307064,3,8,1
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,64357308,3,8,1
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,213529644,4,8,1
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,29904816,4,8,1
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,78880424,4,8,1
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,121830152,4,8,1
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,2964348,5,8,1
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,30090192,5,8,1
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,31406,6,8,1
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,30091064,6,8,1
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,62303312,6,8,1
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51565872,6,8,1
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,1748986,7,8,2
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,30131288,7,8,2
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,18400,8,8,2
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,30132160,8,8,2
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51606968,8,8,2
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51606968,8,8,2
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,1399287,9,8,3
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,30148512,9,8,3
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,21781,10,8,3
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,30149384,10,8,3
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,40886888,10,8,3
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51624192,10,8,3
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,1563012,11,8,4
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,30167408,11,8,4
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,35619,12,8,4
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,30168304,12,8,4
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51643112,12,8,4
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,73117968,12,8,4
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,1494421,13,8,5
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,30185392,13,8,5
Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,20975,14,8,5
Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,30186264,14,8,5
PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51661072,14,8,5
AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,51661072,14,8,5
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,618057,1,4,1
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,9404448,1,4,1
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,304596509,2,4,1
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,15752560,2,4,1
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,59598816,3,4,1
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,13444912,3,4,1
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,52833056,3,4,1
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,42095632,3,4,1
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,43839766,4,4,1
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,14888136,4,4,1
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,34920344,4,4,1
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,34920344,4,4,1
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,390362,5,4,1
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,14896464,5,4,1
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,47854627,6,4,1
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,14955112,6,4,1
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36372096,6,4,1
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36372096,6,4,1
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,370664,7,4,2
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,14961736,7,4,2
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,43735050,8,4,2
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,14968000,8,4,2
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,57912224,8,4,2
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36437368,8,4,2
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,384917,9,4,3
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,14976072,9,4,3
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,38807915,10,4,3
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,14988048,10,4,3
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36451704,10,4,3
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36451704,10,4,3
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,360309,11,4,4
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,14996432,11,4,4
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36622894,12,4,4
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,15100816,12,4,4
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36472088,12,4,4
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36472088,12,4,4
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,358574,13,4,5
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,15109256,13,4,5
Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,34554896,14,4,5
Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,15118648,14,4,5
PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36584888,14,4,5
AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,36584888,14,4,5
Time,BATCH_OPTIMIZED-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,311631,1,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,9389544,1,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,1691024975,2,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,48426520,2,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,13738,3,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,12095224,3,16,1
PeakMemory,BATCH_OPTIMIZED-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,32035576,3,16,1
AverageMemory,BATCH_OPTIMIZED-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,22065500,3,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,28772158287,4,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,15906192,4,16,1
PeakMemory,BATCH_OPTIMIZED-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,1450617024,4,16,1
AverageMemory,BATCH_OPTIMIZED-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,731907491,4,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,333160,5,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,15906312,5,16,1
