CaseName,MetricName,RunIndex,PhaseName,Iteration,Scenario,Size,Sequence,MetricValue,Tool
StatisticBasedCase,Time,1,Modification,3,BasicXform,16,9,161993,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Memory,1,Modification,3,BasicXform,16,9,28569248,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Time,1,M2MTransformation2,3,BasicXform,16,10,280591083,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Memory,1,M2MTransformation2,3,BasicXform,16,10,28576832,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,PeakMemory,1,M2MTransformation2,3,BasicXform,16,10,319968416,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,AverageMemory,1,M2MTransformation2,3,BasicXform,16,10,195083376,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Time,1,Modification,4,BasicXform,16,11,151961,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Memory,1,Modification,4,BasicXform,16,11,28577032,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Time,1,M2MTransformation2,4,BasicXform,16,12,275178413,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Memory,1,M2MTransformation2,4,BasicXform,16,12,28585968,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,AverageMemory,1,M2MTransformation2,4,BasicXform,16,12,195091312,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,PeakMemory,1,M2MTransformation2,4,BasicXform,16,12,319976480,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
StatisticBasedCase,Time,1,Modification,5,BasicXform,16,13,193864,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
