Sequence,MetricValue,Tool,CaseName,Size,Scenario,RunIndex,PhaseName,Iteration,MetricName
2,99382184,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Generation,1,Memory
3,10992,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Initialization,1,Time
3,12045208,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Initialization,1,Memory
3,53578952,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Initialization,1,PeakMemory
3,32812180,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Initialization,1,AverageMemory
4,32436673518,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation1,1,Time
4,15945344,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation1,1,Memory
4,1405572636,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation1,1,AverageMemory
4,3248733816,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation1,1,PeakMemory
5,351904,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,1,Time
5,15945464,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,1,Memory
6,32030273149,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,1,Time
6,16988968,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,1,Memory
6,3225221824,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,1,PeakMemory
6,1177548012,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,1,AverageMemory
7,224463,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,2,Time
7,16989056,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,2,Memory
8,30120811703,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,2,Time
8,17935960,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,2,Memory
8,974926108,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,2,AverageMemory
8,3219797504,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,2,PeakMemory
9,169118,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,3,Time
9,17936048,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,3,Memory
10,29883214299,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,3,Time
10,19081144,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,3,Memory
10,3211592000,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,3,PeakMemory
10,1206402927,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,3,AverageMemory
11,167623,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,4,Time
11,19081256,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,4,Memory
12,30054499358,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,4,Time
12,20031560,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,4,Memory
12,980087495,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,4,AverageMemory
12,3206101664,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,4,PeakMemory
13,207089,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,5,Time
13,20031672,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Modification,5,Memory
14,30866508426,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,5,Time
14,20983272,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,5,Memory
14,3204487960,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,5,PeakMemory
14,1223825228,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,M2MTransformation2,5,AverageMemory
1,329107,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,EMFResourceInitialization,1,Time
1,9416936,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,EMFResourceInitialization,1,Memory
2,111463578,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Generation,1,Time
2,11869152,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Generation,1,Memory
3,68569730,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Initialization,1,Time
