CaseName,Scenario,Size,RunIndex,Tool,MetricValue,Iteration,MetricName,PhaseName,Sequence
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,231491,1,Time,Modification,5
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15920120,1,Memory,Modification,5
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,156522211,1,Time,M2MTransformation2,6
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15929800,1,Memory,M2MTransformation2,6
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,123295176,1,PeakMemory,M2MTransformation2,6
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80345464,1,AverageMemory,M2MTransformation2,6
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,322737,2,Time,Modification,7
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15929632,2,Memory,Modification,7
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,163757097,2,Time,M2MTransformation2,8
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15943208,2,Memory,M2MTransformation2,8
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,144779600,2,PeakMemory,M2MTransformation2,8
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80355004,2,AverageMemory,M2MTransformation2,8
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,232933,3,Time,Modification,9
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15943000,3,Memory,Modification,9
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,137436849,3,Time,M2MTransformation2,10
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15950808,3,Memory,M2MTransformation2,10
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,123318272,3,PeakMemory,M2MTransformation2,10
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80368452,3,AverageMemory,M2MTransformation2,10
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,226513,4,Time,Modification,11
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15949632,4,Memory,Modification,11
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,124897186,4,Time,M2MTransformation2,12
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15955952,4,Memory,M2MTransformation2,12
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80375016,4,AverageMemory,M2MTransformation2,12
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,123324744,4,PeakMemory,M2MTransformation2,12
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,220849,5,Time,Modification,13
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15955744,5,Memory,Modification,13
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,118252159,5,Time,M2MTransformation2,14
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15961568,5,Memory,M2MTransformation2,14
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80381152,5,AverageMemory,M2MTransformation2,14
