MetricValue,Tool,MetricName,Iteration,Sequence,RunIndex,CaseName,Size,Scenario,PhaseName
4285273444,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122601864,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
4231662488,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
2614939614,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
127404,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,2,LowSynchCase,128,BasicXform,Modification
1122608008,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,2,LowSynchCase,128,BasicXform,Modification
4485535701,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122629992,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
4225963392,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
2519118237,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
226506,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,3,LowSynchCase,128,BasicXform,EMFResourceInitialization
11183544,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,3,LowSynchCase,128,BasicXform,EMFResourceInitialization
7343963322,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,3,LowSynchCase,128,BasicXform,Generation
671096008,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,3,LowSynchCase,128,BasicXform,Generation
1726727755,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,3,LowSynchCase,128,BasicXform,Initialization
594234408,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,3,LowSynchCase,128,BasicXform,Initialization
1264307040,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,3,LowSynchCase,128,BasicXform,Initialization
684449621,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,3,LowSynchCase,128,BasicXform,Initialization
3658039545,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
1122492952,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
3154278320,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
1452172262,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
186388,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,5,3,LowSynchCase,128,BasicXform,Modification
1122498520,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,5,3,LowSynchCase,128,BasicXform,Modification
4781401235,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122521120,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
4186508960,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
2591973316,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
185989,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,7,3,LowSynchCase,128,BasicXform,Modification
1122526752,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,7,3,LowSynchCase,128,BasicXform,Modification
3960909415,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122548768,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
4238602112,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
2442833191,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
151429,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,9,3,LowSynchCase,128,BasicXform,Modification
1122554616,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,9,3,LowSynchCase,128,BasicXform,Modification
3895648310,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122576744,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
4166082432,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
2464191663,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
161315,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,11,3,LowSynchCase,128,BasicXform,Modification
1122582728,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,11,3,LowSynchCase,128,BasicXform,Modification
3919603209,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122605216,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
2461866819,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
4160772744,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
147087,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,3,LowSynchCase,128,BasicXform,Modification
1122611360,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,3,LowSynchCase,128,BasicXform,Modification
3940195251,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122633344,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
4157293200,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
2460348989,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
1012632,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,1,LowSynchCase,128,BasicXform,EMFResourceInitialization
11183096,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,1,LowSynchCase,128,BasicXform,EMFResourceInitialization
7476973113,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,1,LowSynchCase,128,BasicXform,Generation
671094712,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,1,LowSynchCase,128,BasicXform,Generation
1699998411,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,1,LowSynchCase,128,BasicXform,Initialization
594229320,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,1,LowSynchCase,128,BasicXform,Initialization
669646226,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,1,LowSynchCase,128,BasicXform,Initialization
1220419456,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,1,LowSynchCase,128,BasicXform,Initialization
3882638254,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,1,LowSynchCase,128,BasicXform,M2MTransformation1
1122489688,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,1,LowSynchCase,128,BasicXform,M2MTransformation1
3150613400,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,4,1,LowSynchCase,128,BasicXform,M2MTransformation1
1406380393,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,4,1,LowSynchCase,128,BasicXform,M2MTransformation1
205250,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,5,1,LowSynchCase,128,BasicXform,Modification
1122494264,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,5,1,LowSynchCase,128,BasicXform,Modification
4758331787,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,6,1,LowSynchCase,128,BasicXform,M2MTransformation2
1122516792,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,6,1,LowSynchCase,128,BasicXform,M2MTransformation2
2623891948,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,6,1,LowSynchCase,128,BasicXform,M2MTransformation2
4209283048,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,6,1,LowSynchCase,128,BasicXform,M2MTransformation2
187570,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,7,1,LowSynchCase,128,BasicXform,Modification
1122522456,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,7,1,LowSynchCase,128,BasicXform,Modification
3902440723,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,8,1,LowSynchCase,128,BasicXform,M2MTransformation2
1122544440,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,8,1,LowSynchCase,128,BasicXform,M2MTransformation2
2486893970,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,2,8,1,LowSynchCase,128,BasicXform,M2MTransformation2
4189205536,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,2,8,1,LowSynchCase,128,BasicXform,M2MTransformation2
184121,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,9,1,LowSynchCase,128,BasicXform,Modification
1122550688,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,9,1,LowSynchCase,128,BasicXform,Modification
3961691271,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,10,1,LowSynchCase,128,BasicXform,M2MTransformation2
1122572816,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,10,1,LowSynchCase,128,BasicXform,M2MTransformation2
4175894208,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,3,10,1,LowSynchCase,128,BasicXform,M2MTransformation2
2443589386,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,3,10,1,LowSynchCase,128,BasicXform,M2MTransformation2
190210,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,11,1,LowSynchCase,128,BasicXform,Modification
1122578800,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,11,1,LowSynchCase,128,BasicXform,Modification
3933363399,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,1,LowSynchCase,128,BasicXform,M2MTransformation2
1122601288,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,1,LowSynchCase,128,BasicXform,M2MTransformation2
4229354064,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,1,LowSynchCase,128,BasicXform,M2MTransformation2
2477133141,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,1,LowSynchCase,128,BasicXform,M2MTransformation2
125349,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,1,LowSynchCase,128,BasicXform,Modification
1122607432,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,1,LowSynchCase,128,BasicXform,Modification
3934353536,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,1,LowSynchCase,128,BasicXform,M2MTransformation2
1122629416,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,1,LowSynchCase,128,BasicXform,M2MTransformation2
4224447032,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,5,14,1,LowSynchCase,128,BasicXform,M2MTransformation2
2475009842,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,5,14,1,LowSynchCase,128,BasicXform,M2MTransformation2
327080,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,2,LowSynchCase,64,BasicXform,EMFResourceInitialization
11171104,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,2,LowSynchCase,64,BasicXform,EMFResourceInitialization
3783743106,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,2,LowSynchCase,64,BasicXform,Generation
307834320,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,2,LowSynchCase,64,BasicXform,Generation
739196238,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,2,LowSynchCase,64,BasicXform,Initialization
253894000,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,2,LowSynchCase,64,BasicXform,Initialization
326745908,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,2,LowSynchCase,64,BasicXform,Initialization
572168856,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,2,LowSynchCase,64,BasicXform,Initialization
1367122715,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,2,LowSynchCase,64,BasicXform,M2MTransformation1
484233040,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,2,LowSynchCase,64,BasicXform,M2MTransformation1
1448657424,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,4,2,LowSynchCase,64,BasicXform,M2MTransformation1
965062992,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,4,2,LowSynchCase,64,BasicXform,M2MTransformation1
159590,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,5,2,LowSynchCase,64,BasicXform,Modification
484237088,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,5,2,LowSynchCase,64,BasicXform,Modification
1762925016,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,6,2,LowSynchCase,64,BasicXform,M2MTransformation2
484259688,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,6,2,LowSynchCase,64,BasicXform,M2MTransformation2
1155840258,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,6,2,LowSynchCase,64,BasicXform,M2MTransformation2
1827442720,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,6,2,LowSynchCase,64,BasicXform,M2MTransformation2
176521,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,7,2,LowSynchCase,64,BasicXform,Modification
484264800,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,7,2,LowSynchCase,64,BasicXform,Modification
1697854296,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,8,2,LowSynchCase,64,BasicXform,M2MTransformation2
484286776,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,8,2,LowSynchCase,64,BasicXform,M2MTransformation2
1850833344,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,2,8,2,LowSynchCase,64,BasicXform,M2MTransformation2
1174361154,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,2,8,2,LowSynchCase,64,BasicXform,M2MTransformation2
158430,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,9,2,LowSynchCase,64,BasicXform,Modification
484292072,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,9,2,LowSynchCase,64,BasicXform,Modification
1706477494,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,10,2,LowSynchCase,64,BasicXform,M2MTransformation2
484314192,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,10,2,LowSynchCase,64,BasicXform,M2MTransformation2
1168205112,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,3,10,2,LowSynchCase,64,BasicXform,M2MTransformation2
1838439312,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,3,10,2,LowSynchCase,64,BasicXform,M2MTransformation2
167093,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,11,2,LowSynchCase,64,BasicXform,Modification
484319624,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,11,2,LowSynchCase,64,BasicXform,Modification
1696108328,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,2,LowSynchCase,64,BasicXform,M2MTransformation2
484342336,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,2,LowSynchCase,64,BasicXform,M2MTransformation2
1830764480,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,2,LowSynchCase,64,BasicXform,M2MTransformation2
1164342624,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,2,LowSynchCase,64,BasicXform,M2MTransformation2
127250,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,2,LowSynchCase,64,BasicXform,Modification
484347928,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,2,LowSynchCase,64,BasicXform,Modification
1707743905,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,2,LowSynchCase,64,BasicXform,M2MTransformation2
484369904,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,2,LowSynchCase,64,BasicXform,M2MTransformation2
