CaseName,PhaseName,Scenario,RunIndex,Sequence,Tool,Size,Iteration,MetricValue,MetricName
StatisticBasedCase,Modification,BasicXform,1,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,4,69474304,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,4,653480662,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,4,69481752,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,4,773035512,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,4,453235324,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,5,316446,Time
StatisticBasedCase,Modification,BasicXform,1,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,5,69482136,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,5,644645593,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,5,69485696,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,5,773043240,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,32,5,453243092,AverageMemory
StatisticBasedCase,EMFResourceInitialization,BasicXform,1,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,167652,Time
StatisticBasedCase,EMFResourceInitialization,BasicXform,1,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,10311688,Memory
StatisticBasedCase,Generation,BasicXform,1,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,69928165257,Time
StatisticBasedCase,Generation,BasicXform,1,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1728073720,Memory
StatisticBasedCase,Initialization,BasicXform,1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,10442566146,Time
StatisticBasedCase,Initialization,BasicXform,1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1032040264,Memory
StatisticBasedCase,Initialization,BasicXform,1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,2617976536,PeakMemory
StatisticBasedCase,Initialization,BasicXform,1,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1350242412,AverageMemory
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1554553679,Time
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1113070888,Memory
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1735709640,PeakMemory
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1428342477,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,16396431,Time
StatisticBasedCase,Modification,BasicXform,1,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1119450248,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,54198,Time
