RunIndex,MetricName,Tool,CaseName,Size,Scenario,MetricValue,Iteration,PhaseName,Sequence
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,1305379669,5,M2MTransformation2,14
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,273374,1,EMFResourceInitialization,1
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,9522488,1,EMFResourceInitialization,1
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,113763046,1,Generation,2
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12158968,1,Generation,2
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,57451465,1,Initialization,3
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12131440,1,Initialization,3
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,52713244,1,Initialization,3
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,84925520,1,Initialization,3
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,49761305,1,M2MTransformation1,4
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12712328,1,M2MTransformation1,4
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,55081728,1,M2MTransformation1,4
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,44344300,1,M2MTransformation1,4
