PhaseName,MetricValue,Scenario,Sequence,CaseName,Iteration,RunIndex,MetricName,Tool,Size
Modification,24804776,BasicXform,7,StatisticBasedCase,2,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,320986901,BasicXform,8,StatisticBasedCase,2,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,24813776,BasicXform,8,StatisticBasedCase,2,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,178761480,BasicXform,8,StatisticBasedCase,2,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,312189936,BasicXform,8,StatisticBasedCase,2,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
Modification,218961,BasicXform,9,StatisticBasedCase,3,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
Modification,24812616,BasicXform,9,StatisticBasedCase,3,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,288201744,BasicXform,10,StatisticBasedCase,3,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,24821792,BasicXform,10,StatisticBasedCase,3,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,312197440,BasicXform,10,StatisticBasedCase,3,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,178769152,BasicXform,10,StatisticBasedCase,3,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
Modification,222903,BasicXform,11,StatisticBasedCase,4,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
Modification,24820624,BasicXform,11,StatisticBasedCase,4,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,285034614,BasicXform,12,StatisticBasedCase,4,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,24828728,BasicXform,12,StatisticBasedCase,4,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,312205568,BasicXform,12,StatisticBasedCase,4,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,178777232,BasicXform,12,StatisticBasedCase,4,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
Modification,230045,BasicXform,13,StatisticBasedCase,5,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
Modification,24828584,BasicXform,13,StatisticBasedCase,5,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,277774965,BasicXform,14,StatisticBasedCase,5,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,24852544,BasicXform,14,StatisticBasedCase,5,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,312213336,BasicXform,14,StatisticBasedCase,5,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
M2MTransformation2,178785084,BasicXform,14,StatisticBasedCase,5,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16
EMFResourceInitialization,260176,BasicXform,1,StatisticBasedCase,1,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
EMFResourceInitialization,8913808,BasicXform,1,StatisticBasedCase,1,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
Generation,3333268354,BasicXform,2,StatisticBasedCase,1,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
Generation,187452488,BasicXform,2,StatisticBasedCase,1,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
Initialization,14991,BasicXform,3,StatisticBasedCase,1,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
Initialization,11611792,BasicXform,3,StatisticBasedCase,1,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
Initialization,53367824,BasicXform,3,StatisticBasedCase,1,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
Initialization,32489908,BasicXform,3,StatisticBasedCase,1,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation1,37079782430,BasicXform,4,StatisticBasedCase,1,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation1,15512328,BasicXform,4,StatisticBasedCase,1,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation1,3326558576,BasicXform,4,StatisticBasedCase,1,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation1,1174758944,BasicXform,4,StatisticBasedCase,1,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
Modification,320912,BasicXform,5,StatisticBasedCase,1,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
