Iteration,CaseName,Tool,Size,Scenario,MetricName,Sequence,MetricValue,PhaseName,RunIndex
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,4,1415714980,M2MTransformation1,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,5,278389,Modification,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,5,15523464,Modification,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,6,34352822891,M2MTransformation2,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,6,16567152,M2MTransformation2,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,6,1027665269,M2MTransformation2,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,6,3339760208,M2MTransformation2,2
2,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,7,247749,Modification,2
2,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,7,16567240,Modification,2
2,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,8,35774115395,M2MTransformation2,2
2,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,8,17515576,M2MTransformation2,2
2,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,8,3337461288,M2MTransformation2,2
2,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,8,967616482,M2MTransformation2,2
3,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,9,151863,Modification,2
3,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,9,17514672,Modification,2
3,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,10,34930971025,M2MTransformation2,2
3,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,10,18659960,M2MTransformation2,2
3,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,10,3328996160,M2MTransformation2,2
3,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,10,1353028127,M2MTransformation2,2
4,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,11,224086,Modification,2
4,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,11,18660072,Modification,2
4,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,12,35205508459,M2MTransformation2,2
4,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,12,19610976,M2MTransformation2,2
4,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,12,953408589,M2MTransformation2,2
4,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,12,3321138456,M2MTransformation2,2
5,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,13,301203,Modification,2
5,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,13,19611088,Modification,2
5,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,14,34997212055,M2MTransformation2,2
5,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,14,20562880,M2MTransformation2,2
5,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,14,3315388464,M2MTransformation2,2
5,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,14,1284309851,M2MTransformation2,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Time,1,313726,EMFResourceInitialization,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Memory,1,8922704,EMFResourceInitialization,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Time,2,82245261,Generation,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Memory,2,12544552,Generation,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Time,3,58024325,Initialization,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Memory,3,11561720,Initialization,2
