Size,Iteration,Sequence,PhaseName,MetricValue,Tool,Scenario,RunIndex,MetricName,CaseName
16,5,13,Modification,221957,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,5,13,Modification,24883976,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,5,14,M2MTransformation2,259193600,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,5,14,M2MTransformation2,24891968,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,5,14,M2MTransformation2,194965528,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,5,14,M2MTransformation2,322526136,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,1,1,EMFResourceInitialization,279950,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,1,1,EMFResourceInitialization,8911376,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,1,2,Generation,2992735632,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,1,2,Generation,152470520,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,1,3,Initialization,34108,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,1,3,Initialization,11609904,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,1,3,Initialization,54559096,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,1,3,Initialization,33084600,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,1,4,M2MTransformation1,37061269612,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,1,4,M2MTransformation1,15509912,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,1,4,M2MTransformation1,889461898,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,1,4,M2MTransformation1,3516825864,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,1,5,Modification,282084,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
