RunIndex,Iteration,Sequence,PhaseName,Scenario,CaseName,Tool,Size,MetricValue,MetricName
1,3,9,Modification,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,221187,Time
1,3,9,Modification,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15943568,Memory
1,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,179444165,Time
1,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15958984,Memory
1,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,166268360,PeakMemory
1,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,101843780,AverageMemory
1,4,11,Modification,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,228286,Time
1,4,11,Modification,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15957824,Memory
1,4,12,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,164048607,Time
1,4,12,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15963520,Memory
1,4,12,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,144807968,PeakMemory
1,4,12,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,91120724,AverageMemory
1,5,13,Modification,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,230824,Time
1,5,13,Modification,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15962344,Memory
1,5,14,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,149901615,Time
1,5,14,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15968296,Memory
1,5,14,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,144812392,PeakMemory
1,5,14,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,91125184,AverageMemory
2,1,1,EMFResourceInitialization,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,638042,Time
2,1,1,EMFResourceInitialization,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,9521400,Memory
2,1,2,Generation,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,3037931982,Time
2,1,2,Generation,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,101160656,Memory
2,1,3,Initialization,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,13538,Time
2,1,3,Initialization,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,12237864,Memory
2,1,3,Initialization,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,54757560,PeakMemory
2,1,3,Initialization,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,33497812,AverageMemory
2,1,4,M2MTransformation1,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,40408719481,Time
2,1,4,M2MTransformation1,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,16137248,Memory
2,1,4,M2MTransformation1,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,3246436104,PeakMemory
2,1,4,M2MTransformation1,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,1258748200,AverageMemory
2,1,5,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,292700,Time
2,1,5,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,16137368,Memory
2,1,6,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,36592866298,Time
2,1,6,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,17181464,Memory
2,1,6,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,3223965480,PeakMemory
2,1,6,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,813498231,AverageMemory
