RunIndex,CaseName,MetricValue,Tool,Iteration,MetricName,Sequence,Scenario,Size,PhaseName
4,StatisticBasedCase,2229079119,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3,Time,15,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,177250232,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3,Memory,15,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,350314,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4,Time,16,ToolChainPerformance,8,Modification
4,StatisticBasedCase,175964264,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4,Memory,16,ToolChainPerformance,8,Modification
4,StatisticBasedCase,91954517,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4,Time,17,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,176196008,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4,Memory,17,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,2203699100,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4,Time,18,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,206622440,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4,Memory,18,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,316925,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5,Time,19,ToolChainPerformance,8,Modification
4,StatisticBasedCase,206542360,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5,Memory,19,ToolChainPerformance,8,Modification
4,StatisticBasedCase,95717864,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5,Time,20,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,206065760,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5,Memory,20,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,2145188578,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5,Time,21,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,237763712,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5,Memory,21,ToolChainPerformance,8,M2TTransformation2
5,StatisticBasedCase,874939,BATCH_OPTIMIZED-TEMPLATE,1,Time,1,ToolChainPerformance,8,EMFResourceInitialization
5,StatisticBasedCase,28922320,BATCH_OPTIMIZED-TEMPLATE,1,Memory,1,ToolChainPerformance,8,EMFResourceInitialization
5,StatisticBasedCase,1121819180,BATCH_OPTIMIZED-TEMPLATE,1,Time,2,ToolChainPerformance,8,Generation
5,StatisticBasedCase,81406424,BATCH_OPTIMIZED-TEMPLATE,1,Memory,2,ToolChainPerformance,8,Generation
5,StatisticBasedCase,12168,BATCH_OPTIMIZED-TEMPLATE,1,Time,3,ToolChainPerformance,8,Initialization
5,StatisticBasedCase,8122603968,BATCH_OPTIMIZED-TEMPLATE,1,Time,4,ToolChainPerformance,8,M2MTransformation1
5,StatisticBasedCase,28872008,BATCH_OPTIMIZED-TEMPLATE,1,Memory,4,ToolChainPerformance,8,M2MTransformation1
5,StatisticBasedCase,2672678248,BATCH_OPTIMIZED-TEMPLATE,1,Time,5,ToolChainPerformance,8,M2TTransformation1
5,StatisticBasedCase,69101920,BATCH_OPTIMIZED-TEMPLATE,1,Memory,5,ToolChainPerformance,8,M2TTransformation1
5,StatisticBasedCase,524,BATCH_OPTIMIZED-TEMPLATE,1,Time,6,ToolChainPerformance,8,EmptyChangeMonitorInitialization
5,StatisticBasedCase,61823664,BATCH_OPTIMIZED-TEMPLATE,1,Memory,6,ToolChainPerformance,8,EmptyChangeMonitorInitialization
5,StatisticBasedCase,204858,BATCH_OPTIMIZED-TEMPLATE,1,Time,7,ToolChainPerformance,8,Modification
5,StatisticBasedCase,61589184,BATCH_OPTIMIZED-TEMPLATE,1,Memory,7,ToolChainPerformance,8,Modification
5,StatisticBasedCase,8131773184,BATCH_OPTIMIZED-TEMPLATE,1,Time,8,ToolChainPerformance,8,M2MTransformation2
5,StatisticBasedCase,57895072,BATCH_OPTIMIZED-TEMPLATE,1,Memory,8,ToolChainPerformance,8,M2MTransformation2
5,StatisticBasedCase,2665744209,BATCH_OPTIMIZED-TEMPLATE,1,Time,9,ToolChainPerformance,8,M2TTransformation2
5,StatisticBasedCase,93648312,BATCH_OPTIMIZED-TEMPLATE,1,Memory,9,ToolChainPerformance,8,M2TTransformation2
