MetricName,MetricValue,PhaseName,Size,Iteration,Tool,RunIndex,Sequence,Scenario,CaseName
Memory,28582136,Modification,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,13,BasicXform,StatisticBasedCase
Time,265545993,M2MTransformation2,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,BasicXform,StatisticBasedCase
Memory,28589480,M2MTransformation2,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,BasicXform,StatisticBasedCase
PeakMemory,365291680,M2MTransformation2,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,BasicXform,StatisticBasedCase
AverageMemory,217981564,M2MTransformation2,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,BasicXform,StatisticBasedCase
Time,367387,EMFResourceInitialization,16,1,BATCH_OPTIMIZED-TEMPLATE,2,1,BasicXform,StatisticBasedCase
Memory,11228736,EMFResourceInitialization,16,1,BATCH_OPTIMIZED-TEMPLATE,2,1,BasicXform,StatisticBasedCase
Time,4741632470,Generation,16,1,BATCH_OPTIMIZED-TEMPLATE,2,2,BasicXform,StatisticBasedCase
Memory,199077584,Generation,16,1,BATCH_OPTIMIZED-TEMPLATE,2,2,BasicXform,StatisticBasedCase
Time,13520,Initialization,16,1,BATCH_OPTIMIZED-TEMPLATE,2,3,BasicXform,StatisticBasedCase
Memory,13929456,Initialization,16,1,BATCH_OPTIMIZED-TEMPLATE,2,3,BasicXform,StatisticBasedCase
PeakMemory,56024968,Initialization,16,1,BATCH_OPTIMIZED-TEMPLATE,2,3,BasicXform,StatisticBasedCase
AverageMemory,34977312,Initialization,16,1,BATCH_OPTIMIZED-TEMPLATE,2,3,BasicXform,StatisticBasedCase
Time,37541037438,M2MTransformation1,16,1,BATCH_OPTIMIZED-TEMPLATE,2,4,BasicXform,StatisticBasedCase
Memory,17828776,M2MTransformation1,16,1,BATCH_OPTIMIZED-TEMPLATE,2,4,BasicXform,StatisticBasedCase
PeakMemory,3243361736,M2MTransformation1,16,1,BATCH_OPTIMIZED-TEMPLATE,2,4,BasicXform,StatisticBasedCase
AverageMemory,1151894668,M2MTransformation1,16,1,BATCH_OPTIMIZED-TEMPLATE,2,4,BasicXform,StatisticBasedCase
Time,327782,Modification,16,1,BATCH_OPTIMIZED-TEMPLATE,2,5,BasicXform,StatisticBasedCase
Memory,17828928,Modification,16,1,BATCH_OPTIMIZED-TEMPLATE,2,5,BasicXform,StatisticBasedCase
Time,38777941168,M2MTransformation2,16,1,BATCH_OPTIMIZED-TEMPLATE,2,6,BasicXform,StatisticBasedCase
Memory,18872528,M2MTransformation2,16,1,BATCH_OPTIMIZED-TEMPLATE,2,6,BasicXform,StatisticBasedCase
PeakMemory,3101376208,M2MTransformation2,16,1,BATCH_OPTIMIZED-TEMPLATE,2,6,BasicXform,StatisticBasedCase
AverageMemory,1040244159,M2MTransformation2,16,1,BATCH_OPTIMIZED-TEMPLATE,2,6,BasicXform,StatisticBasedCase
Time,187837,Modification,16,2,BATCH_OPTIMIZED-TEMPLATE,2,7,BasicXform,StatisticBasedCase
Memory,18872648,Modification,16,2,BATCH_OPTIMIZED-TEMPLATE,2,7,BasicXform,StatisticBasedCase
