Size,Tool,Iteration,MetricValue,Scenario,Sequence,RunIndex,MetricName,CaseName,PhaseName
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,97420048,BasicXform,2,2,Time,StatisticBasedCase,Generation
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,11937672,BasicXform,2,2,Memory,StatisticBasedCase,Generation
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,64986484,BasicXform,3,2,Time,StatisticBasedCase,Initialization
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,12956536,BasicXform,3,2,Memory,StatisticBasedCase,Initialization
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,74234312,BasicXform,3,2,PeakMemory,StatisticBasedCase,Initialization
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,52759448,BasicXform,3,2,AverageMemory,StatisticBasedCase,Initialization
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,66954238,BasicXform,4,2,Time,StatisticBasedCase,M2MTransformation1
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14039840,BasicXform,4,2,Memory,StatisticBasedCase,M2MTransformation1
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,45169384,BasicXform,4,2,AverageMemory,StatisticBasedCase,M2MTransformation1
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,66644248,BasicXform,4,2,PeakMemory,StatisticBasedCase,M2MTransformation1
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,3042701,BasicXform,5,2,Time,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14106848,BasicXform,5,2,Memory,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,23803,BasicXform,6,2,Time,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14107720,BasicXform,6,2,Memory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,24845200,BasicXform,6,2,AverageMemory,StatisticBasedCase,M2MTransformation2
