MetricName,Scenario,Iteration,CaseName,RunIndex,Sequence,Tool,PhaseName,MetricValue,Size
Time,BasicXform,1,StatisticBasedCase,2,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,81191425745,64
Memory,BasicXform,1,StatisticBasedCase,2,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,1642855328,64
Time,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,1836108474,64
Memory,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,203767656,64
AverageMemory,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,356177853,64
PeakMemory,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,655270216,64
Time,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,2397097102,64
Memory,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,329521224,64
PeakMemory,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,1112288864,64
AverageMemory,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,696845115,64
Time,BasicXform,1,StatisticBasedCase,2,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,2185408,64
Memory,BasicXform,1,StatisticBasedCase,2,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329521944,64
Time,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1221601590,64
Memory,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329524552,64
AverageMemory,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,794700714,64
PeakMemory,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1097053200,64
Time,BasicXform,2,StatisticBasedCase,2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,862614,64
Memory,BasicXform,2,StatisticBasedCase,2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329525048,64
Time,BasicXform,2,StatisticBasedCase,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1149122694,64
