Tool,MetricName,Iteration,Sequence,RunIndex,CaseName,Size,Scenario,MetricValue,PhaseName
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,1,3,StatisticBasedCase,2,BasicXform,9585312,EMFResourceInitialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,2,3,StatisticBasedCase,2,BasicXform,114048979,Generation
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,2,3,StatisticBasedCase,2,BasicXform,11999368,Generation
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,3,3,StatisticBasedCase,2,BasicXform,53914549,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,3,3,StatisticBasedCase,2,BasicXform,13294944,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,1,3,3,StatisticBasedCase,2,BasicXform,74258560,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,1,3,3,StatisticBasedCase,2,BasicXform,42046280,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,4,3,StatisticBasedCase,2,BasicXform,55866405,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,4,3,StatisticBasedCase,2,BasicXform,13885608,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,1,4,3,StatisticBasedCase,2,BasicXform,34770376,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,1,4,3,StatisticBasedCase,2,BasicXform,34770376,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,5,3,StatisticBasedCase,2,BasicXform,221507,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,5,3,StatisticBasedCase,2,BasicXform,13885576,Modification
