MetricName,Sequence,Tool,Iteration,RunIndex,MetricValue,Scenario,CaseName,Size,PhaseName
Time,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,192230,BasicXform,StatisticBasedCase,8,Modification
Memory,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,15936264,BasicXform,StatisticBasedCase,8,Modification
Time,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,180493541,BasicXform,StatisticBasedCase,8,M2MTransformation2
Memory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,15941112,BasicXform,StatisticBasedCase,8,M2MTransformation2
PeakMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,144786168,BasicXform,StatisticBasedCase,8,M2MTransformation2
AverageMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,91099032,BasicXform,StatisticBasedCase,8,M2MTransformation2
Time,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,175359,BasicXform,StatisticBasedCase,8,Modification
Memory,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,15940968,BasicXform,StatisticBasedCase,8,Modification
Time,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,174275883,BasicXform,StatisticBasedCase,8,M2MTransformation2
Memory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,15951384,BasicXform,StatisticBasedCase,8,M2MTransformation2
PeakMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,144791016,BasicXform,StatisticBasedCase,8,M2MTransformation2
AverageMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,91103820,BasicXform,StatisticBasedCase,8,M2MTransformation2
Time,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,240072,BasicXform,StatisticBasedCase,8,Modification
Memory,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,15951176,BasicXform,StatisticBasedCase,8,Modification
Time,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,158170114,BasicXform,StatisticBasedCase,8,M2MTransformation2
Memory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,15956672,BasicXform,StatisticBasedCase,8,M2MTransformation2
AverageMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,91113936,BasicXform,StatisticBasedCase,8,M2MTransformation2
PeakMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,144801064,BasicXform,StatisticBasedCase,8,M2MTransformation2
Time,1,BATCH_OPTIMIZED-TEMPLATE,1,2,210011,BasicXform,StatisticBasedCase,16,EMFResourceInitialization
Memory,1,BATCH_OPTIMIZED-TEMPLATE,1,2,9519912,BasicXform,StatisticBasedCase,16,EMFResourceInitialization
Time,2,BATCH_OPTIMIZED-TEMPLATE,1,2,3179929178,BasicXform,StatisticBasedCase,16,Generation
Memory,2,BATCH_OPTIMIZED-TEMPLATE,1,2,105104528,BasicXform,StatisticBasedCase,16,Generation
Time,3,BATCH_OPTIMIZED-TEMPLATE,1,2,11771,BasicXform,StatisticBasedCase,16,Initialization
Memory,3,BATCH_OPTIMIZED-TEMPLATE,1,2,12237984,BasicXform,StatisticBasedCase,16,Initialization
PeakMemory,3,BATCH_OPTIMIZED-TEMPLATE,1,2,54750640,BasicXform,StatisticBasedCase,16,Initialization
AverageMemory,3,BATCH_OPTIMIZED-TEMPLATE,1,2,33494412,BasicXform,StatisticBasedCase,16,Initialization
Time,4,BATCH_OPTIMIZED-TEMPLATE,1,2,38699191484,BasicXform,StatisticBasedCase,16,M2MTransformation1
Memory,4,BATCH_OPTIMIZED-TEMPLATE,1,2,16138040,BasicXform,StatisticBasedCase,16,M2MTransformation1
