Size,RunIndex,Tool,PhaseName,MetricName,Sequence,MetricValue,Scenario,Iteration,CaseName
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,Memory,4,656083656,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation1,Time,5,2703484117,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation1,Memory,5,308875600,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,EmptyChangeMonitorInitialization,Time,6,387,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,EmptyChangeMonitorInitialization,Memory,6,308875600,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,7,361163,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,7,308875600,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,8,105672332,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,8,370193584,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Time,9,2641516833,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Memory,9,1114011480,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,10,400988,ToolChainPerformance,2,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,10,1114011480,ToolChainPerformance,2,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,11,123980819,ToolChainPerformance,2,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,11,158520648,ToolChainPerformance,2,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Time,12,2449888872,ToolChainPerformance,2,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Memory,12,910234464,ToolChainPerformance,2,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,13,344927,ToolChainPerformance,3,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,13,910234464,ToolChainPerformance,3,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,14,93262699,ToolChainPerformance,3,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,14,975916672,ToolChainPerformance,3,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Time,15,2340470085,ToolChainPerformance,3,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Memory,15,680114424,ToolChainPerformance,3,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,16,289441,ToolChainPerformance,4,StatisticBasedCase
