RunIndex,MetricValue,PhaseName,Sequence,MetricName,Iteration,Tool,Scenario,Size,CaseName
2,33718984,M2MTransformation2,12,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
2,139167,Modification,13,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
2,12252072,Modification,13,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
2,27902229,M2MTransformation2,14,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
2,12259560,M2MTransformation2,14,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
2,33727752,M2MTransformation2,14,PeakMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
2,33727752,M2MTransformation2,14,AverageMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,1,StatisticBasedCase
1,538636,EMFResourceInitialization,1,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,9401104,EMFResourceInitialization,1,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,271332559,Generation,2,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,16059280,Generation,2,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,54439688,Initialization,3,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,13597752,Initialization,3,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,42105976,Initialization,3,AverageMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,52843400,Initialization,3,PeakMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,44545582,M2MTransformation1,4,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15081856,M2MTransformation1,4,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,35073184,M2MTransformation1,4,PeakMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,35073184,M2MTransformation1,4,AverageMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,214024,Modification,5,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15084408,Modification,5,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,47464816,M2MTransformation2,6,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15148272,M2MTransformation2,6,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36560040,M2MTransformation2,6,PeakMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36560040,M2MTransformation2,6,AverageMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,211526,Modification,7,Time,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15151344,Modification,7,Memory,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,41132064,M2MTransformation2,8,Time,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15156240,M2MTransformation2,8,Memory,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36626976,M2MTransformation2,8,PeakMemory,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36626976,M2MTransformation2,8,AverageMemory,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,330431,Modification,9,Time,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15157480,Modification,9,Memory,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,37105281,M2MTransformation2,10,Time,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15163480,M2MTransformation2,10,Memory,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
