CaseName,Scenario,PhaseName,Tool,MetricValue,Size,RunIndex,MetricName,Iteration,Sequence
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,508759264,32,3,PeakMemory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,402086356,32,3,AverageMemory,5,14
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,202421,64,1,Time,1,1
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11898496,64,1,Memory,1,1
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,94435547435,64,1,Time,1,2
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2852670704,64,1,Memory,1,2
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9254893359,64,1,Time,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1532366000,64,1,Memory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3648552128,64,1,PeakMemory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1298673413,64,1,AverageMemory,1,3
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,620900037,64,1,Time,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624311328,64,1,Memory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1794851332,64,1,AverageMemory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2033485760,64,1,PeakMemory,1,4
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1188225,64,1,Time,1,5
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624336864,64,1,Memory,1,5
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,732968956,64,1,Time,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624351928,64,1,Memory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2178260008,64,1,PeakMemory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1919762876,64,1,AverageMemory,1,6
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,674879,64,1,Time,2,7
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624378312,64,1,Memory,2,7
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,704800007,64,1,Time,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624393464,64,1,Memory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1919804116,64,1,AverageMemory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2215252848,64,1,PeakMemory,2,8
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,600212,64,1,Time,3,9
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624420776,64,1,Memory,3,9
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,689277782,64,1,Time,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624435480,64,1,Memory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1919846704,64,1,AverageMemory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2178343752,64,1,PeakMemory,3,10
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,609938,64,1,Time,4,11
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624462880,64,1,Memory,4,11
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,677778812,64,1,Time,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624477880,64,1,Memory,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2178386040,64,1,PeakMemory,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1919888928,64,1,AverageMemory,4,12
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,676568,64,1,Time,5,13
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624505792,64,1,Memory,5,13
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,682718495,64,1,Time,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624520472,64,1,Memory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1919931940,64,1,AverageMemory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2178429208,64,1,PeakMemory,5,14
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,169381,32,2,Time,1,1
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11529792,32,2,Memory,1,1
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7384490971,32,2,Time,1,2
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,329175936,32,2,Memory,1,2
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1013566561,32,2,Time,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,216268384,32,2,Memory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,602598858,32,2,AverageMemory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,894373288,32,2,PeakMemory,1,3
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,278912375,32,2,Time,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253579952,32,2,Memory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,344259280,32,2,AverageMemory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,429586880,32,2,PeakMemory,1,4
