Sequence,RunIndex,CaseName,Size,Scenario,MetricName,Tool,MetricValue,Iteration,PhaseName
8,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,19655104,2,M2MTransformation2
8,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,794713583,2,M2MTransformation2
8,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2444964040,2,M2MTransformation2
9,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,327111,3,Modification
9,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,19655480,3,Modification
10,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,36675608194,3,M2MTransformation2
10,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,20798840,3,M2MTransformation2
10,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,979994969,3,M2MTransformation2
10,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2439331256,3,M2MTransformation2
11,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,224563,4,Modification
11,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,20799240,4,Modification
12,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,35942139776,4,M2MTransformation2
12,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,21747848,4,M2MTransformation2
12,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2434398608,4,M2MTransformation2
12,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,854979970,4,M2MTransformation2
13,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,228057,5,Modification
13,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,21748248,5,Modification
14,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,37049447433,5,M2MTransformation2
14,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,22698160,5,M2MTransformation2
