Sequence,RunIndex,CaseName,Size,Scenario,MetricName,Tool,MetricValue,Iteration,PhaseName
4,2,StatisticBasedCase,4,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,573868539,1,M2MTransformation1
4,2,StatisticBasedCase,4,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1438084792,1,M2MTransformation1
5,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,98299,1,Modification
5,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12224992,1,Modification
6,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,1757515231,1,M2MTransformation2
6,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12455200,1,M2MTransformation2
6,2,StatisticBasedCase,4,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,585625307,1,M2MTransformation2
6,2,StatisticBasedCase,4,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1442612056,1,M2MTransformation2
7,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,87630,2,Modification
7,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12455576,2,Modification
8,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,2314205734,2,M2MTransformation2
8,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12700312,2,M2MTransformation2
8,2,StatisticBasedCase,4,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1443850256,2,M2MTransformation2
8,2,StatisticBasedCase,4,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,478852054,2,M2MTransformation2
9,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,115398,3,Modification
9,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12700688,3,Modification
10,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,1784176140,3,M2MTransformation2
10,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12923152,3,M2MTransformation2
10,2,StatisticBasedCase,4,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,586548275,3,M2MTransformation2
10,2,StatisticBasedCase,4,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1444824408,3,M2MTransformation2
11,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,83741,4,Modification
11,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,12923592,4,Modification
12,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,1786232954,4,M2MTransformation2
12,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13197864,4,M2MTransformation2
12,2,StatisticBasedCase,4,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,586852875,4,M2MTransformation2
12,2,StatisticBasedCase,4,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1445129336,4,M2MTransformation2
13,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,85929,5,Modification
13,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13198240,5,Modification
14,2,StatisticBasedCase,4,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,1788540922,5,M2MTransformation2
14,2,StatisticBasedCase,4,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13425160,5,M2MTransformation2
14,2,StatisticBasedCase,4,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,596680251,5,M2MTransformation2
14,2,StatisticBasedCase,4,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1445321960,5,M2MTransformation2
1,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,444268,1,EMFResourceInitialization
1,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11479720,1,EMFResourceInitialization
2,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13560924768,1,Generation
2,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,794166968,1,Generation
3,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1337069942,1,Initialization
3,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,370353304,1,Initialization
3,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,634665728,1,Initialization
3,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1031681992,1,Initialization
4,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,683116742,1,M2MTransformation1
4,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,420777248,1,M2MTransformation1
4,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,724391520,1,M2MTransformation1
4,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,576875824,1,M2MTransformation1
5,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6990024,1,Modification
5,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425124208,1,Modification
6,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10569,1,M2MTransformation2
6,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425124808,1,M2MTransformation2
6,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,490548440,1,M2MTransformation2
6,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,490548440,1,M2MTransformation2
7,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1316716,2,Modification
7,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425172504,2,Modification
8,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10671,2,M2MTransformation2
8,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425173072,2,M2MTransformation2
8,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,433694652,2,M2MTransformation2
8,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,490974816,2,M2MTransformation2
9,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1293352,3,Modification
9,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425221552,3,Modification
10,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11302,3,M2MTransformation2
10,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425222120,3,M2MTransformation2
10,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,459958100,3,M2MTransformation2
10,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491023864,3,M2MTransformation2
11,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1274119,4,Modification
11,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425270552,4,Modification
12,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10997,4,M2MTransformation2
12,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425271344,4,M2MTransformation2
12,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491072888,4,M2MTransformation2
12,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,454502100,4,M2MTransformation2
13,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1295434,5,Modification
13,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425319368,5,Modification
14,1,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10578,5,M2MTransformation2
14,1,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425320136,5,M2MTransformation2
14,1,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491121680,5,M2MTransformation2
14,1,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,459793772,5,M2MTransformation2
1,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,555672,1,EMFResourceInitialization
1,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11480184,1,EMFResourceInitialization
2,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14081732148,1,Generation
2,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,793417888,1,Generation
3,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1323588111,1,Initialization
3,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,371116992,1,Initialization
3,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,640062312,1,Initialization
3,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1039748520,1,Initialization
4,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,584713968,1,M2MTransformation1
4,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,421519224,1,M2MTransformation1
4,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,577500048,1,M2MTransformation1
4,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,724916136,1,M2MTransformation1
5,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7124989,1,Modification
5,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425865656,1,Modification
6,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11044,1,M2MTransformation2
6,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425866224,1,M2MTransformation2
6,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491280592,1,M2MTransformation2
6,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,468272836,1,M2MTransformation2
7,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1245661,2,Modification
7,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425914248,2,Modification
8,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10172,2,M2MTransformation2
8,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425914816,2,M2MTransformation2
8,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,430510080,2,M2MTransformation2
8,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491728248,2,M2MTransformation2
9,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1266945,3,Modification
9,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425963576,3,Modification
10,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10582,3,M2MTransformation2
10,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,425964144,3,M2MTransformation2
10,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491777576,3,M2MTransformation2
10,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,471453872,3,M2MTransformation2
11,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1283468,4,Modification
11,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,426012856,4,Modification
12,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10699,4,M2MTransformation2
12,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,426014016,4,M2MTransformation2
12,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,458920264,4,M2MTransformation2
12,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491826880,4,M2MTransformation2
13,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1272951,5,Modification
13,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,426061872,5,Modification
14,3,StatisticBasedCase,32,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10466,5,M2MTransformation2
14,3,StatisticBasedCase,32,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,426062640,5,M2MTransformation2
14,3,StatisticBasedCase,32,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,493448844,5,M2MTransformation2
14,3,StatisticBasedCase,32,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,491875872,5,M2MTransformation2
1,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,780114,1,EMFResourceInitialization
1,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13185464,1,EMFResourceInitialization
2,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,210946357,1,Generation
2,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,15222712,1,Generation
3,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,19008,1,Initialization
3,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13290656,1,Initialization
3,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,34775608,1,Initialization
3,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,34775608,1,Initialization
4,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,138279420,1,M2MTransformation1
4,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13467328,1,M2MTransformation1
4,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,142204152,1,M2MTransformation1
4,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,249631792,1,M2MTransformation1
5,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,91205,1,Modification
5,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13467704,1,Modification
6,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,111974888,1,M2MTransformation2
6,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13521424,1,M2MTransformation2
6,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,142381084,1,M2MTransformation2
6,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,249808584,1,M2MTransformation2
7,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,108775,2,Modification
7,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13521848,2,Modification
8,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,85962114,2,M2MTransformation2
8,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13579984,2,M2MTransformation2
8,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,142435452,2,M2MTransformation2
8,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,249863176,2,M2MTransformation2
9,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,52679,3,Modification
9,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13580352,3,Modification
10,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,87209223,3,M2MTransformation2
10,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13634208,3,M2MTransformation2
10,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,249922016,3,M2MTransformation2
10,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,142494124,3,M2MTransformation2
11,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,52572,4,Modification
11,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13634600,4,Modification
12,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,87862462,4,M2MTransformation2
12,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13703000,4,M2MTransformation2
12,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,142548412,4,M2MTransformation2
12,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,249976320,4,M2MTransformation2
13,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,68517,5,Modification
13,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13703368,5,Modification
14,1,StatisticBasedCase,1,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,89285558,5,M2MTransformation2
14,1,StatisticBasedCase,1,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13761600,5,M2MTransformation2
14,1,StatisticBasedCase,1,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,271530888,5,M2MTransformation2
14,1,StatisticBasedCase,1,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,153360068,5,M2MTransformation2
1,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,511561,1,EMFResourceInitialization
1,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11047016,1,EMFResourceInitialization
2,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,137825138,1,Generation
2,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14965800,1,Generation
3,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,51061835,1,Initialization
3,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14428032,1,Initialization
3,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,32759312,1,Initialization
3,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,32759312,1,Initialization
4,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,54731557,1,M2MTransformation1
4,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18257344,1,M2MTransformation1
4,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,35913888,1,M2MTransformation1
4,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,35913888,1,M2MTransformation1
5,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,221745,1,Modification
5,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18267808,1,Modification
6,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,53664330,1,M2MTransformation2
6,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18289656,1,M2MTransformation2
6,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39753688,1,M2MTransformation2
6,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39753688,1,M2MTransformation2
7,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,203671,2,Modification
7,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18300248,2,Modification
8,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,46834222,2,M2MTransformation2
8,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18320744,2,M2MTransformation2
8,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39786128,2,M2MTransformation2
8,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39786128,2,M2MTransformation2
9,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,206780,3,Modification
9,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18347944,3,Modification
10,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,40144182,3,M2MTransformation2
10,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18368320,3,M2MTransformation2
10,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39833824,3,M2MTransformation2
10,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39833824,3,M2MTransformation2
11,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,146692,4,Modification
11,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18379320,4,Modification
12,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,38190207,4,M2MTransformation2
12,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18399776,4,M2MTransformation2
12,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39865224,4,M2MTransformation2
12,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39865224,4,M2MTransformation2
13,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,166308,5,Modification
13,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18410888,5,Modification
14,1,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,38383673,5,M2MTransformation2
14,1,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,18431168,5,M2MTransformation2
14,1,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39896768,5,M2MTransformation2
14,1,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39896768,5,M2MTransformation2
1,3,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,200560,1,EMFResourceInitialization
1,3,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,11089368,1,EMFResourceInitialization
2,3,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,1470313909,1,Generation
2,3,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,96625792,1,Generation
3,3,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,12449,1,Initialization
3,3,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13745200,1,Initialization
3,3,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,43989780,1,Initialization
3,3,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,66894128,1,Initialization
4,3,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,33636610666,1,M2MTransformation1
4,3,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,17535720,1,M2MTransformation1
4,3,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2764163040,1,M2MTransformation1
4,3,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,1224340538,1,M2MTransformation1
5,3,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,389685,1,Modification
