Size,Tool,PhaseName,MetricName,Sequence,RunIndex,CaseName,MetricValue,Iteration,Scenario
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,6,1,StatisticBasedCase,351266629,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,6,1,StatisticBasedCase,28559552,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,6,1,StatisticBasedCase,198010176,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,6,1,StatisticBasedCase,325103544,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,7,1,StatisticBasedCase,224479,2,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,7,1,StatisticBasedCase,28559728,2,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,8,1,StatisticBasedCase,322694514,2,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,8,1,StatisticBasedCase,28572112,2,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,8,1,StatisticBasedCase,325111856,2,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,8,1,StatisticBasedCase,198018400,2,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,9,1,StatisticBasedCase,195639,3,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,9,1,StatisticBasedCase,28572288,3,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,10,1,StatisticBasedCase,293259267,3,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,10,1,StatisticBasedCase,28581568,3,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,10,1,StatisticBasedCase,325124312,3,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,10,1,StatisticBasedCase,198030908,3,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,11,1,StatisticBasedCase,170089,4,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,11,1,StatisticBasedCase,28580776,4,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,12,1,StatisticBasedCase,275841187,4,BasicXform
