MetricValue,CaseName,RunIndex,PhaseName,Sequence,MetricName,Scenario,Iteration,Tool,Size
13105336,StatisticBasedCase,5,M2MTransformation2,6,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
132842,StatisticBasedCase,5,Modification,7,Time,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13106088,StatisticBasedCase,5,Modification,7,Memory,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
807890735,StatisticBasedCase,5,M2MTransformation2,8,Time,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13114664,StatisticBasedCase,5,M2MTransformation2,8,Memory,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
84199,StatisticBasedCase,5,Modification,9,Time,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13115576,StatisticBasedCase,5,Modification,9,Memory,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
818604754,StatisticBasedCase,5,M2MTransformation2,10,Time,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13122152,StatisticBasedCase,5,M2MTransformation2,10,Memory,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
81491,StatisticBasedCase,5,Modification,11,Time,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13122928,StatisticBasedCase,5,Modification,11,Memory,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
836992438,StatisticBasedCase,5,M2MTransformation2,12,Time,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13129632,StatisticBasedCase,5,M2MTransformation2,12,Memory,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
97993,StatisticBasedCase,5,Modification,13,Time,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
13130544,StatisticBasedCase,5,Modification,13,Memory,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
854299876,StatisticBasedCase,5,M2MTransformation2,14,Time,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
