Tool,Size,RunIndex,MetricValue,Iteration,Scenario,Sequence,MetricName,PhaseName,CaseName
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,180340708,2,BasicXform,8,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,317146,3,BasicXform,9,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,31530504,3,BasicXform,9,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,295210182,3,BasicXform,10,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,31534424,3,BasicXform,10,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,180351780,3,BasicXform,10,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,286652136,3,BasicXform,10,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,267036,4,BasicXform,11,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,31534912,4,BasicXform,11,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,292202972,4,BasicXform,12,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,31546640,4,BasicXform,12,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,180356268,4,BasicXform,12,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,286656680,4,BasicXform,12,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,252746,5,BasicXform,13,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,31546040,5,BasicXform,13,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,273450017,5,BasicXform,14,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,31551568,5,BasicXform,14,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,180367412,5,BasicXform,14,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,16,2,286667864,5,BasicXform,14,PeakMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,568427,1,BasicXform,1,Time,EMFResourceInitialization,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,9628976,1,BasicXform,1,Memory,EMFResourceInitialization,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,231672539,1,BasicXform,2,Time,Generation,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,16777696,1,BasicXform,2,Memory,Generation,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,81501989,1,BasicXform,3,Time,Initialization,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,17377656,1,BasicXform,3,Memory,Initialization,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,74547912,1,BasicXform,3,PeakMemory,Initialization,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,53073060,1,BasicXform,3,AverageMemory,Initialization,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,89500877,1,BasicXform,4,Time,M2MTransformation1,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20526824,1,BasicXform,4,Memory,M2MTransformation1,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,71065408,1,BasicXform,4,PeakMemory,M2MTransformation1,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,49590544,1,BasicXform,4,AverageMemory,M2MTransformation1,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,3040266,1,BasicXform,5,Time,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20790064,1,BasicXform,5,Memory,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,15529,1,BasicXform,6,Time,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20790936,1,BasicXform,6,Memory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,31528440,1,BasicXform,6,AverageMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42265744,1,BasicXform,6,PeakMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,1866449,2,BasicXform,7,Time,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20819680,2,BasicXform,7,Memory,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,17264,2,BasicXform,8,Time,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20820552,2,BasicXform,8,Memory,M2MTransformation2,StatisticBasedCase
