MetricName,MetricValue,Tool,PhaseName,Scenario,Sequence,RunIndex,CaseName,Iteration,Size
Memory,65342936,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,7,3,StatisticBasedCase,2,16
Time,148161905,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,8,3,StatisticBasedCase,2,16
Memory,65354496,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,8,3,StatisticBasedCase,2,16
PeakMemory,151229840,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,8,3,StatisticBasedCase,2,16
AverageMemory,129758312,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,8,3,StatisticBasedCase,2,16
Time,418276,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,9,3,StatisticBasedCase,3,16
Memory,65356840,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,9,3,StatisticBasedCase,3,16
Time,137589799,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,10,3,StatisticBasedCase,3,16
Memory,65627392,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,10,3,StatisticBasedCase,3,16
PeakMemory,151243728,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,10,3,StatisticBasedCase,3,16
AverageMemory,129772208,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,10,3,StatisticBasedCase,3,16
Time,285112,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,11,3,StatisticBasedCase,4,16
Memory,65631168,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,11,3,StatisticBasedCase,4,16
Time,156308885,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,12,3,StatisticBasedCase,4,16
Memory,65768736,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,12,3,StatisticBasedCase,4,16
AverageMemory,130046668,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,12,3,StatisticBasedCase,4,16
PeakMemory,194467992,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,12,3,StatisticBasedCase,4,16
Time,353794,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,13,3,StatisticBasedCase,5,16
Memory,65772512,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,BasicXform,13,3,StatisticBasedCase,5,16
Time,154583477,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,14,3,StatisticBasedCase,5,16
Memory,65786216,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,14,3,StatisticBasedCase,5,16
PeakMemory,151659424,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,14,3,StatisticBasedCase,5,16
AverageMemory,130187892,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,BasicXform,14,3,StatisticBasedCase,5,16
Time,154677,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,BasicXform,1,2,StatisticBasedCase,1,1
Memory,9512736,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,BasicXform,1,2,StatisticBasedCase,1,1
Time,50684479,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,BasicXform,2,2,StatisticBasedCase,1,1
Memory,10831344,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,BasicXform,2,2,StatisticBasedCase,1,1
Time,48326637,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,1
Memory,12281256,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,1
AverageMemory,63314012,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,1
PeakMemory,95526296,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,1
Time,17482340,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,1
Memory,12798784,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,1
AverageMemory,33756688,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,1
PeakMemory,33756688,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,1
Time,155369,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,5,2,StatisticBasedCase,1,1
Memory,12799144,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,5,2,StatisticBasedCase,1,1
Time,19498417,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,1
Memory,12811240,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,1
PeakMemory,55749632,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,1
AverageMemory,34274776,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,1
Time,128394,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,7,2,StatisticBasedCase,2,1
Memory,12811744,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,7,2,StatisticBasedCase,2,1
Time,18676177,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,1
Memory,12819944,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,1
AverageMemory,34287376,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,1
PeakMemory,55762232,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,1
Time,111626,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,9,2,StatisticBasedCase,3,1
