MetricName,Iteration,Size,Scenario,PhaseName,CaseName,MetricValue,RunIndex,Tool,Sequence
AverageMemory,1,32,BasicXform,Initialization,StatisticBasedCase,653243810,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3
PeakMemory,1,32,BasicXform,Initialization,StatisticBasedCase,1167947328,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3
Time,1,32,BasicXform,M2MTransformation1,StatisticBasedCase,658014245,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4
Memory,1,32,BasicXform,M2MTransformation1,StatisticBasedCase,547439848,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4
AverageMemory,1,32,BasicXform,M2MTransformation1,StatisticBasedCase,700591384,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4
PeakMemory,1,32,BasicXform,M2MTransformation1,StatisticBasedCase,847706296,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4
Time,1,32,BasicXform,Modification,StatisticBasedCase,8851652,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5
Memory,1,32,BasicXform,Modification,StatisticBasedCase,551776776,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5
Time,1,32,BasicXform,M2MTransformation2,StatisticBasedCase,41898,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6
Memory,1,32,BasicXform,M2MTransformation2,StatisticBasedCase,551777624,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6
PeakMemory,1,32,BasicXform,M2MTransformation2,StatisticBasedCase,677070296,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6
AverageMemory,1,32,BasicXform,M2MTransformation2,StatisticBasedCase,614281544,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6
Time,2,32,BasicXform,Modification,StatisticBasedCase,1179248,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7
Memory,2,32,BasicXform,Modification,StatisticBasedCase,551815752,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7
Time,2,32,BasicXform,M2MTransformation2,StatisticBasedCase,14699,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Memory,2,32,BasicXform,M2MTransformation2,StatisticBasedCase,551816600,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
PeakMemory,2,32,BasicXform,M2MTransformation2,StatisticBasedCase,615948880,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
