RunIndex,Scenario,Iteration,MetricValue,PhaseName,Sequence,MetricName,Tool,Size,CaseName
2,BasicXform,4,3233364024,M2MTransformation2,12,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,4,1022420953,M2MTransformation2,12,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,5,153774,Modification,13,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,5,21903640,Modification,13,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,5,38077957478,M2MTransformation2,14,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,5,22853928,M2MTransformation2,14,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,5,3225922392,M2MTransformation2,14,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,5,1322240321,M2MTransformation2,14,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,165349,EMFResourceInitialization,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,11211392,EMFResourceInitialization,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,66384291,Generation,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,13089912,Generation,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,47749860,Initialization,3,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,13634600,Initialization,3,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,75746904,Initialization,3,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,65009472,Initialization,3,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,22324001,M2MTransformation1,4,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,13964600,M2MTransformation1,4,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,35110032,M2MTransformation1,4,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
