Scenario,MetricName,Tool,RunIndex,Sequence,Size,MetricValue,PhaseName,Iteration,CaseName
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,4,64,2134894632,M2MTransformation1,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,5,64,952696,Modification,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,5,64,1738090544,Modification,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,6,64,922758394,M2MTransformation2,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,6,64,1738105952,M2MTransformation2,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,6,64,2290487112,M2MTransformation2,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,6,64,2037305672,M2MTransformation2,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,7,64,648851,Modification,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,7,64,1738130976,Modification,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,8,64,688666618,M2MTransformation2,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,8,64,1738145992,M2MTransformation2,2,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,8,64,2037346036,M2MTransformation2,2,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,8,64,2290527408,M2MTransformation2,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,9,64,560159,Modification,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,9,64,1738171160,Modification,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,10,64,692308907,M2MTransformation2,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,10,64,1738185864,M2MTransformation2,3,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,10,64,2290567640,M2MTransformation2,3,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,10,64,2037386260,M2MTransformation2,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,11,64,605107,Modification,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,11,64,1738211216,Modification,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,12,64,721003372,M2MTransformation2,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,12,64,1738226184,M2MTransformation2,4,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,12,64,2290608176,M2MTransformation2,4,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,12,64,2037426552,M2MTransformation2,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,13,64,608273,Modification,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,13,64,1738251696,Modification,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,14,64,675757578,M2MTransformation2,5,StatisticBasedCase
