Sequence,CaseName,Scenario,Size,PhaseName,Tool,Iteration,RunIndex,MetricValue,MetricName
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_OPTIMIZED-TEMPLATE,1,2,27259,Time
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_OPTIMIZED-TEMPLATE,1,2,13912360,Memory
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_OPTIMIZED-TEMPLATE,1,2,56299520,PeakMemory
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_OPTIMIZED-TEMPLATE,1,2,56299520,AverageMemory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,1,2,35994985903,Time
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,1,2,17812256,Memory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,1,2,3474592744,PeakMemory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,1,2,1221329667,AverageMemory
5,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,1,2,367743,Time
5,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,1,2,17812408,Memory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1,2,35979720861,Time
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1,2,18856952,Memory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1,2,3163299712,PeakMemory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1,2,980711190,AverageMemory
7,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,2,2,134685,Time
7,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,2,2,18857072,Memory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,2,2,36326690836,Time
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,2,2,19804792,Memory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,2,2,3155234480,PeakMemory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,2,2,992329771,AverageMemory
9,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,3,2,105923,Time
9,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,3,2,19804912,Memory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3,2,37413925332,Time
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3,2,20951000,Memory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3,2,1067568961,AverageMemory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3,2,3156585856,PeakMemory
11,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,4,2,129650,Time
11,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,4,2,20951144,Memory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,4,2,36417833029,Time
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,4,2,21902328,Memory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,4,2,1184221148,AverageMemory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,4,2,3146869472,PeakMemory
13,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,5,2,118213,Time
13,StatisticBasedCase,BasicXform,16,Modification,BATCH_OPTIMIZED-TEMPLATE,5,2,21902472,Memory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,5,2,37019458116,Time
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,5,2,22855008,Memory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,5,2,3138889416,PeakMemory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,5,2,1139524245,AverageMemory
1,StatisticBasedCase,BasicXform,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,238608,Time
1,StatisticBasedCase,BasicXform,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,11198992,Memory
2,StatisticBasedCase,BasicXform,1,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,62860043,Time
2,StatisticBasedCase,BasicXform,1,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,12869064,Memory
3,StatisticBasedCase,BasicXform,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,50048104,Time
3,StatisticBasedCase,BasicXform,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,13624352,Memory
3,StatisticBasedCase,BasicXform,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,54260508,AverageMemory
3,StatisticBasedCase,BasicXform,1,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,75735344,PeakMemory
4,StatisticBasedCase,BasicXform,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,24392350,Time
4,StatisticBasedCase,BasicXform,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,13957832,Memory
4,StatisticBasedCase,BasicXform,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,35099784,PeakMemory
4,StatisticBasedCase,BasicXform,1,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,35099784,AverageMemory
5,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,116021,Time
5,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,13958056,Memory
6,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,26168687,Time
6,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,13965720,Memory
6,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,35433656,AverageMemory
6,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,35433656,PeakMemory
7,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,133748,Time
7,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,13965880,Memory
8,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,25615673,Time
8,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,13973440,Memory
8,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,35441480,PeakMemory
8,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,35441480,AverageMemory
9,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,2,190534,Time
9,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,2,13973600,Memory
10,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,2,26175948,Time
10,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,2,13982088,Memory
10,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,2,35449200,PeakMemory
10,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,2,35449200,AverageMemory
11,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,2,119069,Time
