Iteration,MetricValue,Size,Sequence,Tool,PhaseName,MetricName,Scenario,RunIndex,CaseName
2,1123337384,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
2,4189897816,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
2,2427134796,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
3,127995,128,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
3,1123342832,128,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
3,3937932034,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
3,1123364960,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
3,2481768252,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
3,4241108032,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
4,143953,128,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
4,1123370544,128,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
4,3921178132,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
4,1123393032,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
4,4168009296,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
4,2490351546,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
5,176575,128,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
5,1123398776,128,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
5,3955511512,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
5,1123420728,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
5,2487812181,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
5,4224337592,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
1,225973,128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Time,BasicXform,3,LowSynchCase
1,11188328,128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Memory,BasicXform,3,LowSynchCase
1,8338192471,128,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Time,BasicXform,3,LowSynchCase
1,673928840,128,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Memory,BasicXform,3,LowSynchCase
1,1751869472,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Time,BasicXform,3,LowSynchCase
1,594939408,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Memory,BasicXform,3,LowSynchCase
1,670331373,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,AverageMemory,BasicXform,3,LowSynchCase
1,1221751728,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,PeakMemory,BasicXform,3,LowSynchCase
1,3437004887,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Time,BasicXform,3,LowSynchCase
1,1123282744,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Memory,BasicXform,3,LowSynchCase
1,3150668128,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,PeakMemory,BasicXform,3,LowSynchCase
1,1440927268,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,AverageMemory,BasicXform,3,LowSynchCase
1,273314,128,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,3,LowSynchCase
1,1123286952,128,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,3,LowSynchCase
1,3977303138,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,3,LowSynchCase
1,1123309504,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,3,LowSynchCase
1,4211658592,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
1,2497297421,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,3,LowSynchCase
2,169149,128,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,3,LowSynchCase
2,1123314768,128,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,3,LowSynchCase
2,3951086285,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,3,LowSynchCase
2,1123336752,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,3,LowSynchCase
2,4192196464,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
2,2488367564,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,3,LowSynchCase
3,121038,128,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,3,LowSynchCase
3,1123342200,128,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,3,LowSynchCase
3,3982937544,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,3,LowSynchCase
3,1123364328,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,3,LowSynchCase
3,2494460128,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,3,LowSynchCase
3,4239518600,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
4,122047,128,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,3,LowSynchCase
4,1123369912,128,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,3,LowSynchCase
4,3942512953,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,3,LowSynchCase
4,1123392400,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,3,LowSynchCase
4,4295811008,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
4,2503329578,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,3,LowSynchCase
5,171886,128,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,3,LowSynchCase
5,1123398144,128,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,3,LowSynchCase
5,3934542071,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,3,LowSynchCase
5,1123420128,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,3,LowSynchCase
5,2513544598,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,3,LowSynchCase
5,4226313992,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
1,371507,128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Time,BasicXform,1,LowSynchCase
1,11188768,128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Memory,BasicXform,1,LowSynchCase
1,7691468098,128,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Time,BasicXform,1,LowSynchCase
1,673929480,128,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Memory,BasicXform,1,LowSynchCase
1,1708569414,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Time,BasicXform,1,LowSynchCase
1,594939648,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Memory,BasicXform,1,LowSynchCase
1,699402016,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,AverageMemory,BasicXform,1,LowSynchCase
1,1267252904,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,PeakMemory,BasicXform,1,LowSynchCase
1,3364357524,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Time,BasicXform,1,LowSynchCase
1,1123283080,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Memory,BasicXform,1,LowSynchCase
1,3148296936,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,PeakMemory,BasicXform,1,LowSynchCase
1,1483674700,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,AverageMemory,BasicXform,1,LowSynchCase
1,203365,128,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
1,1123287320,128,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
1,3924053716,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
1,1123309872,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
1,4275079136,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
1,2547897635,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
2,216688,128,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
2,1123315136,128,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
2,3882189527,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
2,1123337120,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
2,4254729336,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
2,2538714719,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
3,110966,128,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
3,1123342568,128,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
3,3891140627,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
3,1123364696,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
3,2532691287,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
3,4241370128,128,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
4,112824,128,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
4,1123370280,128,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
4,3874699549,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
4,1123392768,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
4,4232602680,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
4,2541180700,128,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
5,167438,128,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
5,1123398512,128,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
5,4069524194,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
5,1123420496,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
5,2809957393,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
5,4227899392,128,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
1,340778,64,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Time,BasicXform,2,LowSynchCase
1,11177888,64,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Memory,BasicXform,2,LowSynchCase
1,4241159990,64,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Time,BasicXform,2,LowSynchCase
1,307443888,64,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Memory,BasicXform,2,LowSynchCase
1,776823045,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Time,BasicXform,2,LowSynchCase
1,270441952,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Memory,BasicXform,2,LowSynchCase
1,614830472,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,PeakMemory,BasicXform,2,LowSynchCase
1,348075452,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,AverageMemory,BasicXform,2,LowSynchCase
1,1352919514,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Time,BasicXform,2,LowSynchCase
1,500860624,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Memory,BasicXform,2,LowSynchCase
1,995826301,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,AverageMemory,BasicXform,2,LowSynchCase
1,1507861752,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,PeakMemory,BasicXform,2,LowSynchCase
1,166724,64,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
1,500865784,64,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
