Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,8,5535212224,LowSynchCase,AverageMemory
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,8,7473387384,LowSynchCase,PeakMemory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,9,108961,LowSynchCase,Time
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,9,4363756936,LowSynchCase,Memory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,10,19683789679,LowSynchCase,Time
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,10,4363778504,LowSynchCase,Memory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,10,5500779597,LowSynchCase,AverageMemory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,10,7885915632,LowSynchCase,PeakMemory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,11,121148,LowSynchCase,Time
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,11,4363786048,LowSynchCase,Memory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,12,20878209038,LowSynchCase,Time
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,12,4363807920,LowSynchCase,Memory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,12,5615391196,LowSynchCase,AverageMemory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,12,7386405360,LowSynchCase,PeakMemory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,13,250447,LowSynchCase,Time
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,13,4363815624,LowSynchCase,Memory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,14,19047761579,LowSynchCase,Time
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,14,4363836848,LowSynchCase,Memory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,14,7852043024,LowSynchCase,PeakMemory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,14,5556444765,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,EMFResourceInitialization,1,830433,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,EMFResourceInitialization,1,11161176,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Generation,2,11841368849,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Generation,2,1146496056,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Initialization,3,2399873116,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Initialization,3,330135120,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Initialization,3,944613688,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Initialization,3,588438601,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation1,4,9060441663,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation1,4,687935064,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation1,4,1837440268,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation1,4,3709464504,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,5,124845,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,5,687935872,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,6,9469210718,LowSynchCase,Time
