Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
8,2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,41007
8,2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,226448264
8,2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,354033728
8,2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,289609200
9,3,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,1328796
9,3,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,226468416
10,3,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,14894
10,3,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,226469296
10,3,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,258049864
10,3,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,289630232
11,4,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,1741614
11,4,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,226489544
12,4,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,13338
12,4,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,226490648
12,4,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,289651384
12,4,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,258071016
13,5,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,1685404
13,5,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,226510712
14,5,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,14306
14,5,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,226512392
14,5,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,258092160
14,5,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,289672528
1,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,EMFResourceInitialization,Time,32,646193
1,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,EMFResourceInitialization,Memory,32,9569016
2,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Generation,Time,32,13626058895
2,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Generation,Memory,32,385495944
