Size,CaseName,Iteration,Scenario,Tool,MetricName,PhaseName,Sequence,MetricValue,RunIndex
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,5,1123760104,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,6,4496268341,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,6,1123782480,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,6,2743999235,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,6,4216943312,2
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,7,162158,2
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,7,1123788856,2
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,8,3865661453,2
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,8,1123810840,2
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,8,4194607400,2
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,8,2489990264,2
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,9,145540,2
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,9,1123817480,2
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,10,3782972179,2
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,10,1123839608,2
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,10,4179941480,2
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,10,2520903061,2
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,11,143114,2
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,11,1123846248,2
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,12,3768589840,2
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,12,1123868768,2
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,12,4170314176,2
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,12,2528952248,2
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,13,127424,2
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,13,1123875728,2
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,14,3754654475,2
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,14,1123897712,2
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,14,2538463611,2
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,14,4226041112,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,EMFResourceInitialization,1,325247,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,EMFResourceInitialization,1,11197872,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Generation,2,8069190223,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Generation,2,675060392,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Initialization,3,1711161271,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Initialization,3,595141624,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,Initialization,3,698463048,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,Initialization,3,1263869000,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation1,4,3357656683,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation1,4,1123815160,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation1,4,3150443384,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation1,4,1459724233,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,5,194516,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,5,1123759472,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,6,4277085336,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,6,1123781848,3
