Tool,MetricName,CaseName,RunIndex,PhaseName,Sequence,MetricValue,Size,Scenario,Iteration
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,10,94253664,4,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,10,13664392,4,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,10,78065872,4,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,10,56591036,4,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,11,191819,4,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,11,13664240,4,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,12,83988947,4,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,12,13681640,4,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,12,78089608,4,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,12,56614752,4,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,13,133474,4,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,13,13681416,4,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,14,79519956,4,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,14,13690896,4,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,14,78106744,4,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,14,56631896,4,BasicXform,5
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,EMFResourceInitialization,1,177830,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,EMFResourceInitialization,1,9625232,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Generation,2,243227499,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Generation,2,16407120,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Initialization,3,91513995,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Initialization,3,16245280,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,Initialization,3,53070428,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,Initialization,3,85282720,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation1,4,83609796,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation1,4,18556936,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation1,4,53826852,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation1,4,69933008,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Modification,5,2657107,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Modification,5,18650576,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,6,14422,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,6,18652248,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,6,29388928,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,6,40126208,4,BasicXform,1
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Modification,7,1441069,4,BasicXform,2
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Modification,7,18671336,4,BasicXform,2
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,8,16198,4,BasicXform,2
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,8,18672208,4,BasicXform,2
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,8,40146968,4,BasicXform,2
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,8,61621824,4,BasicXform,2
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Modification,9,1243006,4,BasicXform,3
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Modification,9,18690664,4,BasicXform,3
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,10,60284,4,BasicXform,3
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,10,18691536,4,BasicXform,3
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,10,61641152,4,BasicXform,3
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,10,40166296,4,BasicXform,3
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Modification,11,1736740,4,BasicXform,4
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Modification,11,18720872,4,BasicXform,4
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,12,14847,4,BasicXform,4
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,12,18721768,4,BasicXform,4
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,12,40196528,4,BasicXform,4
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,12,29459248,4,BasicXform,4
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,Modification,13,1402050,4,BasicXform,5
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,Modification,13,18749256,4,BasicXform,5
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,14,36011,4,BasicXform,5
INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,14,18750128,4,BasicXform,5
INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,14,50962316,4,BasicXform,5
INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,14,61699744,4,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,EMFResourceInitialization,1,190703,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,EMFResourceInitialization,1,9861312,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,Generation,2,15949164769,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,Generation,2,386633424,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,Initialization,3,504241171,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,Initialization,3,46888240,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,AverageMemory,StatisticBasedCase,2,Initialization,3,129948348,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,PeakMemory,StatisticBasedCase,2,Initialization,3,242514272,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation1,4,661973707,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation1,4,69456624,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation1,4,655725880,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation1,4,383341644,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,Modification,5,544474,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,Modification,5,69456272,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,6,599411650,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,6,69461264,32,BasicXform,1
