Tool,CaseName,Size,Sequence,MetricName,Iteration,Scenario,RunIndex,PhaseName,MetricValue
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,12,PeakMemory,4,BasicXform,1,M2MTransformation2,365045176
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,12,AverageMemory,4,BasicXform,1,M2MTransformation2,216224512
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,13,Time,5,BasicXform,1,Modification,318450
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,13,Memory,5,BasicXform,1,Modification,24890944
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,14,Time,5,BasicXform,1,M2MTransformation2,322374782
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,14,Memory,5,BasicXform,1,M2MTransformation2,24898648
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,14,PeakMemory,5,BasicXform,1,M2MTransformation2,408002768
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,14,AverageMemory,5,BasicXform,1,M2MTransformation2,216232476
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,1,Time,1,BasicXform,2,EMFResourceInitialization,419547
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,1,Memory,1,BasicXform,2,EMFResourceInitialization,8919944
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,2,Time,1,BasicXform,2,Generation,3148942477
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,2,Memory,1,BasicXform,2,Generation,152527672
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,3,Time,1,BasicXform,2,Initialization,15443
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,3,Memory,1,BasicXform,2,Initialization,11620000
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,3,PeakMemory,1,BasicXform,2,Initialization,54565312
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,3,AverageMemory,1,BasicXform,2,Initialization,33092756
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,4,Time,1,BasicXform,2,M2MTransformation1,37806503945
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,4,Memory,1,BasicXform,2,M2MTransformation1,15518888
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,4,PeakMemory,1,BasicXform,2,M2MTransformation1,3515795576
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,4,AverageMemory,1,BasicXform,2,M2MTransformation1,1482436684
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,5,Time,1,BasicXform,2,Modification,388987
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,5,Memory,1,BasicXform,2,Modification,15519008
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,6,Time,1,BasicXform,2,M2MTransformation2,36345596883
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,6,Memory,1,BasicXform,2,M2MTransformation2,16562624
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,6,PeakMemory,1,BasicXform,2,M2MTransformation2,3301832920
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,6,AverageMemory,1,BasicXform,2,M2MTransformation2,1207891299
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,7,Time,2,BasicXform,2,Modification,174032
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,7,Memory,2,BasicXform,2,Modification,16562712
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,8,Time,2,BasicXform,2,M2MTransformation2,35482502996
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,8,Memory,2,BasicXform,2,M2MTransformation2,17510696
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,8,PeakMemory,2,BasicXform,2,M2MTransformation2,3295014008
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,8,AverageMemory,2,BasicXform,2,M2MTransformation2,1059176502
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,9,Time,3,BasicXform,2,Modification,145300
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,9,Memory,3,BasicXform,2,Modification,17509832
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,10,Time,3,BasicXform,2,M2MTransformation2,35630943036
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,10,Memory,3,BasicXform,2,M2MTransformation2,18655112
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,10,PeakMemory,3,BasicXform,2,M2MTransformation2,3291113592
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,10,AverageMemory,3,BasicXform,2,M2MTransformation2,1264417856
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,11,Time,4,BasicXform,2,Modification,155981
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,11,Memory,4,BasicXform,2,Modification,18655224
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,12,Time,4,BasicXform,2,M2MTransformation2,35480703863
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,12,Memory,4,BasicXform,2,M2MTransformation2,19605600
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,12,AverageMemory,4,BasicXform,2,M2MTransformation2,1151977202
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,12,PeakMemory,4,BasicXform,2,M2MTransformation2,3283458672
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,13,Time,5,BasicXform,2,Modification,234617
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,13,Memory,5,BasicXform,2,Modification,19605712
BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,14,Time,5,BasicXform,2,M2MTransformation2,36416264621
