Iteration,Scenario,MetricName,Size,CaseName,RunIndex,Sequence,PhaseName,Tool,MetricValue
2,BasicXform,Memory,16,StatisticBasedCase,1,7,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27351272
2,BasicXform,Time,16,StatisticBasedCase,1,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,286192174
2,BasicXform,Memory,16,StatisticBasedCase,1,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27359480
2,BasicXform,PeakMemory,16,StatisticBasedCase,1,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,324993320
2,BasicXform,AverageMemory,16,StatisticBasedCase,1,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,197432796
3,BasicXform,Time,16,StatisticBasedCase,1,9,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,204128
3,BasicXform,Memory,16,StatisticBasedCase,1,9,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27359312
3,BasicXform,Time,16,StatisticBasedCase,1,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,272344187
3,BasicXform,Memory,16,StatisticBasedCase,1,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27367184
3,BasicXform,PeakMemory,16,StatisticBasedCase,1,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,325001448
3,BasicXform,AverageMemory,16,StatisticBasedCase,1,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,197440880
4,BasicXform,Time,16,StatisticBasedCase,1,11,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,143600
4,BasicXform,Memory,16,StatisticBasedCase,1,11,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27367040
4,BasicXform,Time,16,StatisticBasedCase,1,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,263855862
4,BasicXform,Memory,16,StatisticBasedCase,1,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27375168
4,BasicXform,AverageMemory,16,StatisticBasedCase,1,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,197448576
4,BasicXform,PeakMemory,16,StatisticBasedCase,1,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,325009088
5,BasicXform,Time,16,StatisticBasedCase,1,13,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,161585
5,BasicXform,Memory,16,StatisticBasedCase,1,13,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27375000
5,BasicXform,Time,16,StatisticBasedCase,1,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,258235139
5,BasicXform,Memory,16,StatisticBasedCase,1,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27383880
