RunIndex,MetricName,Sequence,CaseName,PhaseName,Scenario,Size,Tool,MetricValue,Iteration
2,Memory,9,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,19826424,3
2,Time,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,36416142546,3
2,Memory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,20972440,3
2,PeakMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3257751912,3
2,AverageMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,1202995847,3
2,Time,11,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,113932,4
2,Memory,11,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,20972584,4
2,Time,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,35842277327,4
2,Memory,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,21923696,4
2,AverageMemory,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,992488291,4
2,PeakMemory,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3245840000,4
2,Time,13,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,111882,5
2,Memory,13,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,21923840,5
2,Time,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,36640931319,5
2,Memory,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,22876304,5
2,AverageMemory,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,1157633452,5
2,PeakMemory,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3239598656,5
2,Time,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,477784,1
2,Memory,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11215168,1
2,Time,2,StatisticBasedCase,Generation,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,58832034,1
2,Memory,2,StatisticBasedCase,Generation,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13082064,1
2,Time,3,StatisticBasedCase,Initialization,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,49780526,1
2,Memory,3,StatisticBasedCase,Initialization,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13637088,1
2,AverageMemory,3,StatisticBasedCase,Initialization,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,54275684,1
2,PeakMemory,3,StatisticBasedCase,Initialization,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,75750536,1
2,Time,4,StatisticBasedCase,M2MTransformation1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,24264709,1
2,Memory,4,StatisticBasedCase,M2MTransformation1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13972496,1
2,PeakMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35112520,1
2,AverageMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35112520,1
2,Time,5,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,274386,1
2,Memory,5,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13972696,1
2,Time,6,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28061992,1
2,Memory,6,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13980584,1
2,PeakMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,56923152,1
2,AverageMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35448296,1
2,Time,7,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,242219,2
2,Memory,7,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13980744,2
2,Time,8,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,33498408,2
2,Memory,8,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13988800,2
2,PeakMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,56931200,2
2,AverageMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35456344,2
2,Time,9,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,147347,3
2,Memory,9,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13989024,3
2,Time,10,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,30476406,3
2,Memory,10,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13998328,3
2,PeakMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35464624,3
2,AverageMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35464624,3
2,Time,11,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,93743,4
