CaseName,PhaseName,Tool,Scenario,MetricValue,MetricName,Sequence,Iteration,Size,RunIndex
StatisticBasedCase,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,9553928,Memory,1,1,8,1
StatisticBasedCase,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1058602468,Time,2,1,8,1
StatisticBasedCase,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,32696920,Memory,2,1,8,1
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,74036745,Time,3,1,8,1
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16021432,Memory,3,1,8,1
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,75066832,PeakMemory,3,1,8,1
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,53591984,AverageMemory,3,1,8,1
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,108436782,Time,4,1,8,1
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,20535944,Memory,4,1,8,1
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,58971560,PeakMemory,4,1,8,1
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,48234148,AverageMemory,4,1,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,449449,Time,5,1,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,20554168,Memory,5,1,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,111355331,Time,6,1,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,21231776,Memory,6,1,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,52767212,AverageMemory,6,1,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,63504624,PeakMemory,6,1,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,309268,Time,7,2,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,21237296,Memory,7,2,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,112926157,Time,8,2,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,21826264,Memory,8,2,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,53450360,AverageMemory,8,2,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,85662648,PeakMemory,8,2,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,289079,Time,9,3,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,21831192,Memory,9,3,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,101958034,Time,10,3,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,22492592,Memory,10,3,8,1
